iteration,steps_collected,episode_return_mean,high_samples,low_samples,loss_low_mean,loss_high_total,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1,200.0,-1.2017487287521373,44.0,800.0,0.05163673438834815,0.04980719182640314,1.0,0.0,0.0,0.0,2.533355951309204,0.6962013244628906,6.113474399717234,10.0,1.0,200.0,-0.8412672609090808
2,200.0,17.241300420276826,48.0,800.0,0.10037984253029772,8.495701551437378,,,,,,,,,,,
3,130.0,-0.5664586544036865,28.0,520.0,0.049832832911590685,0.12308651581406593,,,,,,,,,,,
4,200.0,6.525503732264042,44.0,800.0,0.04709728485198287,3.765141487121582,,,,,,,,,,,
5,200.0,14.754246391355991,40.0,800.0,0.3215351520291847,22.46824550628662,,,,,,,,,,,
6,200.0,-1.4170461148023619,40.0,800.0,0.002819992036508151,0.13419956527650356,,,,,,,,,,,
7,200.0,11.302874298393727,40.0,800.0,0.0437778729439,31.418151378631592,,,,,,,,,,,
8,200.0,7.818672835826876,40.0,800.0,0.04872694671179546,4.134732484817505,,,,,,,,,,,
9,126.0,-0.548966679573059,28.0,504.0,0.04843652972537533,0.019455726724117994,,,,,,,,,,,
10,200.0,-0.485857689380646,40.0,800.0,0.04636607094192441,0.092012545093894,,,,,,,,,,,
11,32.0,-0.340360541343689,8.0,128.0,0.016889763676255096,0.06096265185624361,,,,,,,,,,,
12,200.0,6.545855131745337,40.0,800.0,0.041279855655254716,6.311029553413391,,,,,,,,,,,
13,200.0,3.871776223182677,44.0,800.0,0.041527824641848836,1.832244724035263,,,,,,,,,,,
14,199.0,14.21718483738601,44.0,796.0,0.022115664913185645,9.384521961212158,,,,,,,,,,,
15,175.0,25.317461775243284,36.0,700.0,0.03965419621178829,14.982913255691528,,,,,,,,,,,
16,37.0,-0.1677512717247009,8.0,148.0,0.0042602313484693816,0.17262224853038788,,,,,,,,,,,
17,200.0,5.488454581052065,40.0,800.0,0.03079815039546118,11.357685804367065,,,,,,,,,,,
18,13.0,-0.48026009082794185,4.0,52.0,0.0052915362883560685,0.787435382604599,,,,,,,,,,,
19,49.0,0.43703779935836806,12.0,196.0,0.02847942860027888,0.052645670250058174,,,,,,,,,,,
20,200.0,16.329957336187356,44.0,800.0,0.0671262241477259,8.35995602607727,1.0,0.0,0.25,0.0,7.582982063293457,3.6684083938598633,6.828791985200951,10.0,1.0,200.0,8.451768421009183
21,200.0,15.940980226546522,40.0,800.0,0.05264509980537469,9.262825965881348,,,,,,,,,,,
22,200.0,43.49813704323026,44.0,800.0,0.0697308440645088,16.91202402114868,,,,,,,,,,,
23,50.0,0.9455584019422532,12.0,200.0,0.03643119658750038,0.22224709019064903,,,,,,,,,,,
24,200.0,4.114990597963333,40.0,800.0,0.040166848435489164,1.1878090500831604,,,,,,,,,,,
25,200.0,8.537977749854326,40.0,800.0,0.04454684020459094,5.035176515579224,,,,,,,,,,,
26,200.0,5.10382232815027,40.0,800.0,0.04717716676920026,7.365802645683289,,,,,,,,,,,
27,200.0,8.358252227306359,40.0,800.0,0.059727701260205865,8.63524079322815,,,,,,,,,,,
28,103.0,1.7488081750273705,24.0,412.0,0.04501146849928715,1.5218586325645447,,,,,,,,,,,
29,156.0,4.917085199952124,32.0,624.0,0.06798795439146943,1.5299181938171387,,,,,,,,,,,
30,200.0,41.05019879778846,40.0,800.0,0.07523479257157449,15.300405025482178,,,,,,,,,,,
31,200.0,26.034088945761326,48.0,800.0,0.05711378682747355,9.526737928390503,,,,,,,,,,,
32,200.0,8.172821423411367,44.0,800.0,0.04138317611943168,2.5065133571624756,,,,,,,,,,,
33,169.0,4.307083911299706,36.0,676.0,0.03887906122083252,2.958545506000519,,,,,,,,,,,
34,62.0,-0.26266750812530526,16.0,248.0,0.04128285866531508,0.3476980850100517,,,,,,,,,,,
35,200.0,73.02506488068033,52.0,800.0,0.07131520403527247,33.286322593688965,,,,,,,,,,,
36,43.0,2.4475884300470354,12.0,172.0,0.029219690526600364,1.9777293503284454,,,,,,,,,,,
37,200.0,25.082471861876563,40.0,800.0,0.044395204401702464,15.189102172851562,,,,,,,,,,,
38,200.0,1.4302435554564,40.0,800.0,0.03509122864600928,0.5942338854074478,,,,,,,,,,,
39,200.0,34.13871908560396,44.0,800.0,0.0927103305788829,8.928858995437622,,,,,,,,,,,
40,200.0,7.2819743290543535,44.0,800.0,0.06426927471366284,3.802857995033264,1.0,0.0,0.25,0.5,-0.008280396461486816,2.438497304916382,7.020811940426938,7.0,1.0,128.0,2.793927713930607
41,200.0,12.68127278685569,44.0,800.0,0.07453952964358734,7.816104769706726,,,,,,,,,,,
42,200.0,65.2526116745081,40.0,800.0,0.07479378440255084,27.03773021697998,,,,,,,,,,,
43,200.0,9.917733151279386,40.0,800.0,0.02886746038011756,8.288010597229004,,,,,,,,,,,
44,97.0,-0.1538985443115236,20.0,388.0,0.03615926083659397,0.402798131108284,,,,,,,,,,,
45,191.0,3.146703871488572,40.0,764.0,0.050984814663940316,1.2060577273368835,,,,,,,,,,,
46,200.0,6.41500768065452,40.0,800.0,0.04289539277485943,3.547630250453949,,,,,,,,,,,
47,133.0,2.5553492259979245,28.0,532.0,0.036251383158498775,0.7136037349700928,,,,,,,,,,,
48,200.0,7.083183147013187,40.0,800.0,0.029426319092327416,4.429576873779297,,,,,,,,,,,
49,26.0,-0.34322801589965823,8.0,104.0,0.009753714248453034,0.6064005941152573,,,,,,,,,,,
50,200.0,4.451070572435855,48.0,800.0,0.03634260621969787,0.761366456747055,,,,,,,,,,,
51,134.0,9.533177209496499,28.0,536.0,0.049139493227631455,10.739401578903198,,,,,,,,,,,
52,200.0,14.606981104239816,44.0,800.0,0.05756610820840535,5.014182806015015,,,,,,,,,,,
53,126.0,2.142554413676263,28.0,504.0,0.01275840674092197,0.4363679736852646,,,,,,,,,,,
54,95.0,0.17974495738744717,24.0,380.0,0.06955211714458805,0.4399847760796547,,,,,,,,,,,
55,137.0,15.650649126917122,36.0,548.0,0.0353443917970049,4.7540812492370605,,,,,,,,,,,
