iteration,steps_collected,episode_return_mean,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-1.2256432592868813,40.0,800.0,0.021391749382019043,0.04641869736450577,1.0,0.0,0.0,0.0,1.6549676656723022,3.3534393310546875,5.558226449182257,10.0,1.0,200.0,-0.9704605519771585
2.0,200.0,12.363751077279456,40.0,800.0,18.50684642791748,0.03687336317135781,,,,,,,,,,,
3.0,200.0,16.43057774528861,40.0,800.0,8.36184287071228,0.0787898880846356,,,,,,,,,,,
4.0,161.0,-0.10735465347766882,36.0,644.0,0.010626622010022402,0.03507566515130425,,,,,,,,,,,
5.0,200.0,4.203855267167089,40.0,800.0,2.9085769653320312,0.0631345859569521,,,,,,,,,,,
6.0,47.0,-0.3958313894271851,12.0,188.0,0.0348450718447566,0.035815066124106155,,,,,,,,,,,
7.0,120.0,-0.26983292996883446,24.0,480.0,0.030925234779715538,0.020122029070138492,,,,,,,,,,,
8.0,115.0,-0.03549871444702141,24.0,460.0,0.009024511557072401,0.043776970147010486,,,,,,,,,,,
9.0,41.0,-0.1781418478488922,12.0,164.0,0.001484446693211794,0.040198785167354444,,,,,,,,,,,
10.0,27.0,-0.26804358482360835,8.0,108.0,0.05653780326247215,0.08944954412149382,,,,,,,,,,,
11.0,34.0,-0.19185923576354974,8.0,136.0,0.4680005982518196,0.010352461739015736,,,,,,,,,,,
12.0,42.0,-0.171415491104126,12.0,168.0,0.0009956052526831627,0.04433167225771025,,,,,,,,,,,
13.0,200.0,-0.563846230506897,40.0,800.0,0.07108774781227112,0.04456817705026861,,,,,,,,,,,
14.0,200.0,8.541517257690428,40.0,800.0,13.847952842712402,0.023835950732447486,,,,,,,,,,,
15.0,67.0,0.21375843614339826,16.0,268.0,0.026237770449370146,0.028297845209945383,,,,,,,,,,,
16.0,200.0,-0.5626525044441228,40.0,800.0,0.12432801350951195,0.07369025907359728,,,,,,,,,,,
17.0,200.0,39.0803354818374,40.0,800.0,15.125799417495728,0.026158023546218878,,,,,,,,,,,
18.0,200.0,10.283949316293004,40.0,800.0,4.558993816375732,0.05279825676730354,,,,,,,,,,,
19.0,200.0,40.72538862228394,48.0,800.0,12.04307222366333,0.019157758323389208,,,,,,,,,,,
