iteration,n_rounds,skill_ids,skill_names,t_start,t_end
1,26,"[3, 2, 3, 2, 2, 0, 4, 1, 3, 2, 0, 3, 2, 3, 4, 4, 3, 2, 2, 0, 1, 3, 4, 2, 2, 0]","[""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""cruise"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""decelerate"", ""cruise"", ""cruise"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""decelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_left""]","[0, 4, 14, 20, 30, 40, 46, 56, 66, 74, 84, 86, 90, 100, 102, 112, 122, 123, 133, 143, 151, 158, 167, 177, 187, 197]","[4, 14, 20, 30, 40, 46, 56, 66, 74, 84, 86, 90, 100, 102, 112, 122, 123, 133, 143, 151, 158, 167, 177, 187, 197, 200]"
2,26,"[1, 2, 0, 1, 2, 2, 1, 3, 4, 4, 2, 0, 4, 3, 2, 3, 2, 0, 1, 1, 1, 3, 2, 0, 0, 1]","[""turn_right"", ""accelerate"", ""turn_left"", ""turn_right"", ""accelerate"", ""accelerate"", ""turn_right"", ""decelerate"", ""cruise"", ""cruise"", ""accelerate"", ""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_right""]","[0, 3, 13, 17, 20, 30, 40, 45, 54, 64, 74, 84, 94, 104, 109, 119, 126, 136, 146, 149, 153, 157, 166, 176, 186, 196]","[3, 13, 17, 20, 30, 40, 45, 54, 64, 74, 84, 94, 104, 109, 119, 126, 136, 146, 149, 153, 157, 166, 176, 186, 196, 200]"
3,19,"[4, 0, 3, 2, 0, 1, 1, 3, 2, 0, 1, 0, 0, 2, 0, 3, 0, 2, 4]","[""cruise"", ""turn_left"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""decelerate"", ""turn_left"", ""accelerate"", ""cruise""]","[0, 10, 12, 16, 26, 29, 34, 40, 50, 60, 63, 67, 72, 80, 90, 100, 110, 120, 130]","[10, 12, 16, 26, 29, 34, 40, 50, 60, 63, 67, 72, 80, 90, 100, 110, 120, 130, 134]"
4,26,"[4, 4, 1, 4, 4, 1, 1, 3, 2, 0, 3, 2, 3, 2, 0, 3, 2, 4, 4, 1, 4, 0, 4, 3, 2, 3]","[""cruise"", ""cruise"", ""turn_right"", ""cruise"", ""cruise"", ""turn_right"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""cruise"", ""cruise"", ""turn_right"", ""cruise"", ""turn_left"", ""cruise"", ""decelerate"", ""accelerate"", ""decelerate""]","[0, 10, 20, 23, 33, 43, 45, 50, 57, 67, 77, 85, 95, 99, 109, 111, 117, 127, 137, 147, 154, 164, 171, 181, 187, 197]","[10, 20, 23, 33, 43, 45, 50, 57, 67, 77, 85, 95, 99, 109, 111, 117, 127, 137, 147, 154, 164, 171, 181, 187, 197, 200]"
5,24,"[0, 1, 3, 2, 4, 1, 1, 3, 4, 2, 0, 1, 4, 1, 3, 2, 2, 3, 4, 3, 2, 4, 2, 0]","[""turn_left"", ""turn_right"", ""decelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""turn_right"", ""decelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""cruise"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""decelerate"", ""cruise"", ""decelerate"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left""]","[0, 3, 8, 14, 24, 34, 44, 54, 61, 71, 81, 86, 93, 103, 110, 117, 127, 137, 147, 157, 167, 177, 187, 197]","[3, 8, 14, 24, 34, 44, 54, 61, 71, 81, 86, 93, 103, 110, 117, 127, 137, 147, 157, 167, 177, 187, 197, 200]"
6,25,"[1, 1, 1, 1, 4, 0, 2, 4, 2, 0, 0, 2, 0, 3, 2, 2, 2, 4, 1, 3, 2, 2, 3, 2, 1]","[""turn_right"", ""turn_right"", ""turn_right"", ""turn_right"", ""cruise"", ""turn_left"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right""]","[0, 3, 7, 13, 20, 30, 36, 46, 56, 59, 67, 75, 85, 95, 105, 115, 125, 135, 145, 151, 159, 169, 179, 186, 196]","[3, 7, 13, 20, 30, 36, 46, 56, 59, 67, 75, 85, 95, 105, 115, 125, 135, 145, 151, 159, 169, 179, 186, 196, 200]"
7,23,"[2, 4, 4, 2, 0, 1, 1, 3, 2, 2, 1, 3, 2, 1, 0, 1, 2, 0, 2, 2, 2, 0, 4]","[""accelerate"", ""cruise"", ""cruise"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""accelerate"", ""turn_left"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""cruise""]","[0, 10, 20, 30, 40, 44, 54, 64, 74, 84, 94, 104, 110, 120, 126, 132, 140, 150, 155, 165, 175, 185, 192]","[10, 20, 30, 40, 44, 54, 64, 74, 84, 94, 104, 110, 120, 126, 132, 140, 150, 155, 165, 175, 185, 192, 200]"
8,26,"[1, 0, 4, 1, 1, 2, 0, 0, 1, 0, 1, 4, 2, 2, 1, 4, 0, 0, 1, 2, 3, 2, 3, 4, 0, 1]","[""turn_right"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_right"", ""accelerate"", ""turn_left"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_right"", ""cruise"", ""accelerate"", ""accelerate"", ""turn_right"", ""cruise"", ""turn_left"", ""turn_left"", ""turn_right"", ""accelerate"", ""decelerate"", ""accelerate"", ""decelerate"", ""cruise"", ""turn_left"", ""turn_right""]","[0, 3, 8, 18, 21, 25, 35, 45, 55, 61, 68, 74, 84, 94, 104, 112, 122, 128, 133, 139, 149, 154, 164, 174, 184, 194]","[3, 8, 18, 21, 25, 35, 45, 55, 61, 68, 74, 84, 94, 104, 112, 122, 128, 133, 139, 149, 154, 164, 174, 184, 194, 200]"
9,23,"[0, 4, 0, 1, 0, 4, 1, 1, 2, 1, 3, 4, 2, 4, 4, 3, 3, 3, 4, 2, 2, 2, 2]","[""turn_left"", ""cruise"", ""turn_left"", ""turn_right"", ""turn_left"", ""cruise"", ""turn_right"", ""turn_right"", ""accelerate"", ""turn_right"", ""decelerate"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""decelerate"", ""decelerate"", ""decelerate"", ""cruise"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate""]","[0, 3, 13, 16, 26, 33, 43, 50, 60, 70, 77, 87, 97, 107, 117, 127, 137, 147, 157, 167, 177, 187, 197]","[3, 13, 16, 26, 33, 43, 50, 60, 70, 77, 87, 97, 107, 117, 127, 137, 147, 157, 167, 177, 187, 197, 200]"
10,28,"[1, 4, 3, 2, 3, 2, 1, 2, 2, 4, 0, 3, 2, 0, 1, 0, 0, 1, 4, 4, 4, 0, 0, 3, 4, 2, 4, 2]","[""turn_right"", ""cruise"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""accelerate"", ""accelerate"", ""cruise"", ""turn_left"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_right"", ""cruise"", ""cruise"", ""cruise"", ""turn_left"", ""turn_left"", ""decelerate"", ""cruise"", ""accelerate"", ""cruise"", ""accelerate""]","[0, 2, 12, 13, 23, 28, 38, 40, 50, 60, 70, 74, 79, 89, 92, 96, 101, 106, 111, 121, 131, 141, 151, 161, 169, 179, 189, 199]","[2, 12, 13, 23, 28, 38, 40, 50, 60, 70, 74, 79, 89, 92, 96, 101, 106, 111, 121, 131, 141, 151, 161, 169, 179, 189, 199, 200]"
