iteration,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-1.6900828212499641,0.0,0.9281183770645759,0.34615384615384615,0.0,nan,0.05,26.0,200.0,-0.017998039722442627,0.1765107209944108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1969804763793945,13.310660372721031,25.0,1.0,200.0,-2.9555516719818136
2.0,200.0,-2.283879756927492,0.0,0.9697500593011421,0.2692307692307692,0.0,nan,0.049942775393419174,26.0,200.0,0.02843083254992962,0.19970576964592965,0.0,0.0,0.0,,,,,,,,,,,,
3.0,134.0,-9.645728759765625,0.0,0.9418071978946625,0.3684210526315789,0.0,nan,0.049885550786838345,19.0,134.0,5.229525327682495,0.2305653931407098,0.0,0.0,0.0,,,,,,,,,,,,
4.0,200.0,-2.4015892505645775,0.0,0.9663243728555028,0.3076923076923077,0.0,nan,0.049828326180257516,26.0,200.0,-0.02315670996904373,0.19785887766362065,0.0,0.0,0.0,,,,,,,,,,,,
5.0,200.0,-2.5828974962234503,0.0,0.9859893685002913,0.25,0.0,nan,0.04977110157367668,24.0,200.0,-0.07183745317161083,0.15080305656651036,0.0,0.0,0.0,,,,,,,,,,,,
6.0,200.0,-2.000343191623689,0.0,0.9396937160127192,0.36,0.0,nan,0.04971387696709585,25.0,200.0,0.13456342928111553,0.2828505952024716,0.0,0.0,0.0,,,,,,,,,,,,
7.0,200.0,-3.419768381118776,0.0,0.9203009976300749,0.391304347826087,0.0,nan,0.04965665236051502,23.0,200.0,0.04505392909049988,0.14954569037045076,0.0,0.0,0.0,,,,,,,,,,,,
8.0,200.0,-3.1310093402862558,0.0,0.9433524232055582,0.3076923076923077,0.0,nan,0.049599427753934194,26.0,200.0,0.15596593171358109,0.2691268006389146,0.0,0.0,0.0,,,,,,,,,,,,
9.0,200.0,-2.572765111923218,0.0,0.9787123216629998,0.2608695652173913,0.0,nan,0.049542203147353366,23.0,200.0,0.012458506971597672,0.07441151744613307,0.0,0.0,0.0,,,,,,,,,,,,
10.0,200.0,-3.0906567573547377,0.0,0.9812226646903643,0.25,0.0,nan,0.04948497854077254,28.0,200.0,0.01738683506846428,0.1782557246955912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.944011688232422,11.866945378482342,25.0,1.0,200.0,-5.709137344360348
11.0,200.0,-2.6281703233718914,0.0,0.9179209417909888,0.28,0.0,nan,0.04942775393419171,25.0,200.0,-0.046520366333425045,0.11547150422818958,0.0,0.0,0.0,,,,,,,,,,,,
12.0,200.0,-2.450946545600891,0.0,0.8824673461799529,0.4,0.0,nan,0.04937052932761087,25.0,200.0,0.07359951175749302,0.06933600511736586,0.0,0.0,0.0,,,,,,,,,,,,
13.0,200.0,-2.575350117683415,0.0,0.8955381361407981,0.37037037037037035,0.0,nan,0.049313304721030043,27.0,200.0,0.0737641230225563,0.19603177797736862,0.0,0.0,0.0,,,,,,,,,,,,
14.0,200.0,-1.9765242457389844,0.0,0.9654381385134038,0.25,0.0,nan,0.049256080114449215,24.0,200.0,0.037127576768398285,0.14285488976820487,0.0,0.0,0.0,,,,,,,,,,,,
15.0,200.0,-2.794818258285523,0.0,0.9681463936312061,0.2608695652173913,0.0,nan,0.049198855507868386,23.0,200.0,0.045088863000273705,0.15218863139190944,0.0,0.0,0.0,,,,,,,,,,,,
16.0,200.0,-2.1186596155166626,0.0,0.9712286966744242,0.2916666666666667,0.0,nan,0.04914163090128756,24.0,200.0,0.05376707948744297,0.2607202062144279,0.0,0.0,0.0,,,,,,,,,,,,
17.0,200.0,-2.614140582084656,0.0,0.9478441092041845,0.3333333333333333,0.0,nan,0.04908440629470673,24.0,200.0,0.021228892728686333,0.14007281037822394,0.0,0.0,0.0,,,,,,,,,,,,
18.0,200.0,-2.8489256381988564,0.0,0.9548162884650381,0.28,0.0,nan,0.0490271816881259,25.0,200.0,-0.029098480939865112,0.1123759850380884,0.0,0.0,0.0,,,,,,,,,,,,
19.0,200.0,-3.0006202220916776,0.0,0.8688126711109786,0.44,0.0,nan,0.048969957081545064,25.0,200.0,-0.030079721473157406,0.11348737150023226,0.0,0.0,0.0,,,,,,,,,,,,
20.0,124.0,-8.981551246643068,0.0,0.9361001894484675,0.26666666666666666,0.0,nan,0.048912732474964235,15.0,124.0,3.64333975315094,0.21865328011711338,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.136343002319336,16.179512504008017,23.0,1.0,200.0,-2.8511909961700472
21.0,200.0,-4.388625907897953,0.0,0.9359550884809646,0.30434782608695654,0.0,nan,0.048855507868383406,23.0,200.0,0.1008924338966608,0.09620517226383526,0.0,0.0,0.0,,,,,,,,,,,,
22.0,126.0,-9.091773338317873,0.0,0.9429842267229361,0.35294117647058826,0.0,nan,0.04879828326180258,17.0,126.0,3.1344568729400635,0.49029301344518667,0.0,0.0,0.0,,,,,,,,,,,,
23.0,200.0,-3.1212771415710483,0.0,0.8621381747436391,0.34782608695652173,0.0,nan,0.04874105865522175,23.0,200.0,-0.004179144278168678,0.14927502674523566,0.0,0.0,0.0,,,,,,,,,,,,
24.0,200.0,-2.583840918540958,0.0,0.9195862327824982,0.375,0.0,nan,0.04868383404864092,24.0,200.0,0.11119944229722023,0.15270592683184078,0.0,0.0,0.0,,,,,,,,,,,,
25.0,200.0,-4.806264877319334,0.0,0.9506547275364273,0.28,0.0,nan,0.04862660944206009,25.0,200.0,0.33752139657735825,0.10161229511839337,0.0,0.0,0.0,,,,,,,,,,,,
26.0,200.0,-3.747096300125125,0.0,0.9193626187851062,0.32,0.0,nan,0.048569384835479255,25.0,200.0,0.270370289683342,0.15696048052539482,0.0,0.0,0.0,,,,,,,,,,,,
27.0,200.0,-2.489563059806825,0.0,0.9241439882364653,0.3333333333333333,0.0,nan,0.04851216022889843,27.0,200.0,0.034045565873384476,0.1353720541312214,0.0,0.0,0.0,,,,,,,,,,,,
28.0,200.0,-4.787503433227538,0.0,0.9142072754772274,0.34782608695652173,0.0,nan,0.0484549356223176,23.0,200.0,0.2904106378555298,0.1320140483052819,0.0,0.0,0.0,,,,,,,,,,,,
29.0,200.0,-2.8443867683410673,0.0,0.9087678038838249,0.34782608695652173,0.0,nan,0.04839771101573677,23.0,200.0,-0.021461669355630875,0.11014539066003635,0.0,0.0,0.0,,,,,,,,,,,,
30.0,200.0,-2.767033004760743,0.0,0.8472304020900738,0.45454545454545453,0.0,nan,0.04834048640915594,22.0,200.0,-0.04995778389275074,0.08284185516036814,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.33132553100586,15.092651180224493,24.0,1.0,200.0,-2.97849307060242
31.0,200.0,-3.2849133491516134,0.0,0.8906053698657658,0.34615384615384615,0.0,nan,0.04828326180257511,26.0,200.0,0.07621738500893116,0.16671949803596361,0.0,0.0,0.0,,,,,,,,,,,,
