iteration,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-0.09651490151882225,0.25,0.9213065569638262,0.3469387755102041,0.0005640652389574446,nan,0.05,49.0,800.0,-0.006838697008788586,0.03719873302090759,0.0,0.0,0.0,3.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5786737203598022,0.646490216255188,12.935801210890835,45.333333333333336,1.0,189.0,-0.09018397668997484
2.0,48.0,-0.2470100808143615,0.0,0.6680216708187077,0.5833333333333334,0.0016700541770467692,nan,0.049942775393419174,12.0,192.0,-0.07496414985507727,0.03638039760248072,0.0,0.0,0.0,,,,,,,,,,,,
3.0,81.0,-0.27187385916709905,0.0,0.891454717897596,0.3333333333333333,0.0012735067398537084,nan,0.049885550786838345,21.0,324.0,0.08972601406276226,0.02270158196826344,0.0,0.0,0.0,,,,,,,,,,,,
4.0,200.0,-0.3367636620998379,0.0,0.9808315809188406,0.2391304347826087,0.0006396727701644616,nan,0.049828326180257516,46.0,800.0,0.1534087285399437,0.01824503742452066,0.0,0.0,0.0,,,,,,,,,,,,
5.0,200.0,-0.02265495061874405,0.0,0.966407107812471,0.28846153846153844,0.0005575425621995024,nan,0.04977110157367668,52.0,800.0,-0.0736316479742527,0.019331412120841662,0.0,0.0,0.0,,,,,,,,,,,,
6.0,200.0,-0.7270846009254464,0.25,0.9138647068326634,0.4,0.0005483188240995981,nan,0.04971387696709585,50.0,800.0,0.02710626646876335,0.02381867993669573,0.0,0.0,0.0,,,,,,,,,,,,
7.0,134.0,-0.20332473158836356,0.0,0.9020713090543371,0.43333333333333335,0.0009020713090543369,nan,0.04965665236051502,30.0,536.0,0.07561909407377243,0.06375782263435426,0.0,0.0,0.0,,,,,,,,,,,,
8.0,136.0,-0.708865842819214,0.0,0.9680098846556534,0.3333333333333333,0.0008800089860505942,nan,0.049599427753934194,33.0,544.0,0.03414277173578739,0.04925309387112975,0.0,0.0,0.0,,,,,,,,,,,,
9.0,108.0,-0.4621873188018797,0.0,0.9521658070862108,0.3076923076923077,0.0010986528543302431,nan,0.049542203147353366,26.0,432.0,0.10477941483259201,0.029713585878806015,0.0,0.0,0.0,,,,,,,,,,,,
10.0,171.0,-0.6841013407707217,0.0,0.907846312747172,0.4090909090909091,0.0006189861223276173,nan,0.04948497854077254,44.0,684.0,0.1465228646993637,0.03161249740157723,0.0,0.0,0.0,,,,,,,,,,,,
11.0,200.0,-0.2792981684207918,0.0,0.9026743780065619,0.42857142857142855,0.0005526577824529972,nan,0.04942775393419171,49.0,800.0,-0.013278249651193619,0.027225364675956598,0.0,0.0,0.0,,,,,,,,,,,,
12.0,136.0,0.08570087492465975,0.0,0.8968381934055303,0.43333333333333335,0.0008968381934055302,nan,0.04937052932761087,30.0,544.0,-0.05988165736198425,0.014683677363113823,0.0,0.0,0.0,,,,,,,,,,,,
13.0,138.0,-0.3184414851665498,0.0,0.94298415265404,0.35294117647058826,0.0008320448405770942,nan,0.049313304721030043,34.0,552.0,-0.06290309876203537,0.02311139019023134,0.0,0.0,0.0,,,,,,,,,,,,
14.0,200.0,-0.23402042984962523,0.0,0.9286117499816441,0.3617021276595745,0.0005927309042436027,nan,0.049256080114449215,47.0,800.0,0.004402900114655495,0.014820082570643933,0.0,0.0,0.0,,,,,,,,,,,,
15.0,200.0,-0.19195002913475048,0.0,0.9379699846621696,0.375,0.0005862312404138559,nan,0.049198855507868386,48.0,800.0,0.021830566227436066,0.03113071993119232,0.0,0.0,0.0,,,,,,,,,,,,
16.0,143.0,-1.1942538458108902,0.0,0.8903301298477767,0.3939393939393939,0.000809391027134342,nan,0.04914163090128756,33.0,572.0,0.09271392785012722,0.017291243035026937,0.0,0.0,0.0,,,,,,,,,,,,
17.0,107.0,-0.7091480863094333,0.0,0.7638341580172986,0.52,0.0009166009896207584,nan,0.04908440629470673,25.0,428.0,0.0720707755535841,0.006455328943646421,0.0,0.0,0.0,,,,,,,,,,,,
18.0,200.0,-1.4524403810501096,0.0,0.9499415181356692,0.29545454545454547,0.0006476873987288656,nan,0.0490271816881259,44.0,800.0,0.09766030125319958,0.013336219473522704,0.0,0.0,0.0,,,,,,,,,,,,
19.0,200.0,-1.014941358566285,0.0,0.9776306195040351,0.3,0.000586578371702421,nan,0.048969957081545064,50.0,800.0,0.07115533761680126,0.009002896611411293,0.0,0.0,0.0,,,,,,,,,,,,
20.0,75.0,-0.7392672806978227,0.0,0.8793616373655604,0.3684210526315789,0.0013884657432087799,nan,0.048912732474964235,19.0,300.0,-0.04800201207399368,0.019383662446891492,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.0,-0.008292913436889648,1.6342320442199707,8.354245577890348,28.333333333333332,1.0,121.33333333333333,-0.2855341740449271
21.0,200.0,-1.3230834066867827,0.25,0.9745758700901743,0.27450980392156865,0.0005732799235824557,nan,0.048855507868383406,51.0,800.0,0.02048463188111782,0.01825803149036176,0.0,0.0,0.0,,,,,,,,,,,,
22.0,125.0,-0.6256007075309753,0.0,0.9053026387165525,0.42857142857142855,0.0009699671129105919,nan,0.04879828326180258,28.0,500.0,0.0017551286146044731,0.024281513833777524,0.0,0.0,0.0,,,,,,,,,,,,
23.0,200.0,13.825535332038996,0.5,0.6055501121070668,0.6344086021505376,0.00019533874584098924,nan,0.04874105865522175,93.0,800.0,0.1236369414255023,0.02021317067371342,0.0,0.0,0.0,,,,,,,,,,,,
24.0,200.0,-1.0083130478858953,0.0,0.958183386413845,0.30434782608695654,0.0006249022085307684,nan,0.04868383404864092,46.0,800.0,0.08524014614522457,0.008744341082362439,0.0,0.0,0.0,,,,,,,,,,,,
25.0,200.0,-0.6633746027946478,0.0,0.9394112172429102,0.375,0.000587132010776819,nan,0.04862660944206009,48.0,800.0,0.022322941571474075,0.029647111405070703,0.0,0.0,0.0,,,,,,,,,,,,
26.0,143.0,0.10893053680658296,0.0,0.8148097796374388,0.5,0.0007189498055624459,nan,0.048569384835479255,34.0,572.0,0.07456166297197342,0.051693205249870644,0.0,0.0,0.0,,,,,,,,,,,,
27.0,175.0,0.2772552877664567,0.25,0.7370976567219568,0.5416666666666666,0.000460686035451223,nan,0.04851216022889843,48.0,700.0,0.1014267560094595,0.03383996837623826,0.0,0.0,0.0,,,,,,,,,,,,
28.0,167.0,-0.340418909192085,0.0,0.9326654665975013,0.3902439024390244,0.0006824381462908547,nan,0.0484549356223176,41.0,668.0,0.03363368101418018,0.02789561392809503,0.0,0.0,0.0,,,,,,,,,,,,
29.0,200.0,-0.5945360213518146,0.0,0.8645106755553207,0.4222222222222222,0.0005763404503702137,nan,0.04839771101573677,45.0,800.0,-0.024476440623402596,0.014056199101638356,0.0,0.0,0.0,,,,,,,,,,,,
30.0,113.0,-0.9170999485254289,0.0,0.9461403023866917,0.35714285714285715,0.0010137217525571698,nan,0.04834048640915594,28.0,452.0,0.0077149029821157455,0.013808168493517847,0.0,0.0,0.0,,,,,,,,,,,,
31.0,51.0,-0.12645696163177486,0.0,0.6951143694354999,0.5833333333333334,0.00173778592358875,nan,0.04828326180257511,12.0,204.0,0.11869424395263195,0.02302404644532829,0.0,0.0,0.0,,,,,,,,,,,,
32.0,200.0,-1.4319975256919866,0.0,0.9253334606392873,0.3673469387755102,0.0005665306901873188,nan,0.04822603719599428,49.0,800.0,0.07744903117418289,0.008291780279178873,0.0,0.0,0.0,,,,,,,,,,,,
33.0,63.0,-0.1285466167330741,0.0,0.6545114300971712,0.47058823529411764,0.001155020170759714,nan,0.048168812589413454,17.0,252.0,0.08051776513457298,0.013215312363465655,0.0,0.0,0.0,,,,,,,,,,,,
34.0,55.0,-0.1329554557800292,0.0,0.8560874125505422,0.46153846153846156,0.001975586336655097,nan,0.04811158798283262,13.0,220.0,-0.07836512848734856,0.02003199858346224,0.0,0.0,0.0,,,,,,,,,,,,
35.0,87.0,-0.30418478965759266,0.0,0.9190292346836613,0.3181818181818182,0.0012532216836595382,nan,0.04805436337625179,22.0,348.0,0.006373870186507702,0.020399115406490864,0.0,0.0,0.0,,,,,,,,,,,,
36.0,109.0,-0.15201902031898504,0.0,0.8748995048564868,0.375,0.001093624381070609,nan,0.04799713876967096,24.0,436.0,-0.07590117491781712,0.01635206829035951,0.0,0.0,0.0,,,,,,,,,,,,
37.0,200.0,-0.2078472137451172,0.0,0.9030771646636729,0.3469387755102041,0.0005529043865287793,nan,0.04793991416309013,49.0,800.0,-0.026789352297782898,0.032590004159885666,0.0,0.0,0.0,,,,,,,,,,,,
38.0,200.0,-0.1747281610965731,0.0,0.8859845817811991,0.44680851063829785,0.0005655220734773614,nan,0.0478826895565093,47.0,800.0,-0.0058237044140696526,0.020793387859896484,0.0,0.0,0.0,,,,,,,,,,,,
39.0,154.0,-0.9036489868164063,0.0,0.848043308225012,0.4594594594594595,0.0006876026823446045,nan,0.047825464949928474,37.0,616.0,-0.02976781129837036,0.03350784743415147,0.0,0.0,0.0,,,,,,,,,,,,
40.0,152.0,-0.507863752245903,0.0,0.9223577427375887,0.3333333333333333,0.0006588269590982776,nan,0.047768240343347645,42.0,608.0,-0.004366072826087475,0.024252546458825464,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.0,0.48709455132484436,-0.0004222989082336426,10.58113786693381,40.333333333333336,1.0,160.66666666666666,-0.5747041934728623
41.0,200.0,-0.7745053678750996,0.0,0.9247990535537676,0.375,0.0005779994084711049,nan,0.04771101573676681,48.0,800.0,0.055936744436621666,0.03450007214755857,0.0,0.0,0.0,,,,,,,,,,,,
42.0,200.0,-0.8010423749685287,0.0,0.9263570927836925,0.40425531914893614,0.0005912917613512932,nan,0.04765379113018598,47.0,800.0,0.014713328331708908,0.024811228821912223,0.0,0.0,0.0,,,,,,,,,,,,
43.0,142.0,-0.6706174862384798,0.0,0.9193841728338776,0.3235294117647059,0.0008112213289710686,nan,0.04759656652360515,34.0,568.0,0.04487699083983898,0.03511773860436307,0.0,0.0,0.0,,,,,,,,,,,,
44.0,200.0,-0.6601387739181521,0.0,0.8378024685782975,0.3695652173913043,0.0005463929142901939,nan,0.04753934191702432,46.0,800.0,0.018908260390162468,0.02782460798191977,0.0,0.0,0.0,,,,,,,,,,,,
45.0,200.0,-1.1928191244602204,0.0,0.9467284834907959,0.3404255319148936,0.0006042947766962527,nan,0.047482117310443495,47.0,800.0,0.036070723086595535,0.016262290452910833,0.0,0.0,0.0,,,,,,,,,,,,
46.0,200.0,-0.9431376576423651,0.0,0.8945381319742559,0.3673469387755102,0.000547676407331177,nan,0.047424892703862666,49.0,800.0,0.007744425907731056,0.023576108986005595,0.0,0.0,0.0,,,,,,,,,,,,
47.0,153.0,-1.248046702444554,0.0,0.9098176564174572,0.35135135135135137,0.0007376899916898301,nan,0.04736766809728184,37.0,612.0,-0.03832780197262764,0.030704708877465237,0.0,0.0,0.0,,,,,,,,,,,,
48.0,93.0,-0.2075422513484954,0.0,0.9513590486696507,0.36363636363636365,0.0012973077936404328,nan,0.047310443490701,22.0,372.0,0.05119820311665535,0.027666071672357795,0.0,0.0,0.0,,,,,,,,,,,,
49.0,95.0,-0.9866773545742036,0.0,0.9369317609452285,0.34615384615384615,0.0010810751087829559,nan,0.04725321888412017,26.0,380.0,0.06903798505663872,0.017964117352732956,0.0,0.0,0.0,,,,,,,,,,,,
50.0,200.0,-0.01924779415130662,0.0,0.9566410497898981,0.3333333333333333,0.0005979006561186865,nan,0.047195994277539344,48.0,800.0,-0.02151838969439268,0.03830060698145621,0.0,0.0,0.0,,,,,,,,,,,,
51.0,40.0,-0.17372144460678102,0.0,0.5343276836631002,0.6363636363636364,0.0014572573190811825,nan,0.047138769670958515,11.0,160.0,0.1481665037572384,0.020084982381507643,0.0,0.0,0.0,,,,,,,,,,,,
52.0,200.0,-0.28000841140747046,0.0,0.8872149402146805,0.4423076923076923,0.0005118547732007772,nan,0.047081545064377686,52.0,800.0,-0.00013861805200576782,0.02492452799410927,0.0,0.0,0.0,,,,,,,,,,,,
53.0,187.0,-1.994959599971771,0.0,0.9240649567243031,0.3333333333333333,0.0006600463976602165,nan,0.04702432045779686,42.0,748.0,0.32727284729480743,0.026633854699845916,0.0,0.0,0.0,,,,,,,,,,,,
54.0,139.0,-0.36136020660400375,0.0,0.9719978280917544,0.29411764705882354,0.0008576451424339012,nan,0.04696709585121603,34.0,556.0,0.0698037389665842,0.013485653676106324,0.0,0.0,0.0,,,,,,,,,,,,
55.0,42.0,-0.324997158050537,0.0,0.8130822707731871,0.4166666666666667,0.0020327056769329677,nan,0.04690987124463519,12.0,168.0,-0.003908494487404823,0.023994907925909848,0.0,0.0,0.0,,,,,,,,,,,,
56.0,93.0,-0.26480324745178224,0.0,0.974188711970145,0.30434782608695654,0.001270680928656711,nan,0.046852646638054364,23.0,372.0,0.056453168392181396,0.02691886914410624,0.0,0.0,0.0,,,,,,,,,,,,
57.0,200.0,-0.3021739304065703,0.0,0.9134260708298293,0.3469387755102041,0.000559240451528467,nan,0.046795422031473535,49.0,800.0,0.007444620132446289,0.015212644567303535,0.0,0.0,0.0,,,,,,,,,,,,
58.0,159.0,-0.22853734731674225,0.0,0.8318133317067742,0.5,0.0005941523797905534,nan,0.046738197424892707,42.0,636.0,0.12754005193710327,0.01226474776812303,0.0,0.0,0.0,,,,,,,,,,,,
59.0,150.0,-0.9953750967979432,0.0,0.9000006389943523,0.3888888888888889,0.0007500005324952935,nan,0.04668097281831188,36.0,600.0,0.04945139028131962,0.008696647642487232,0.0,0.0,0.0,,,,,,,,,,,,
60.0,200.0,-0.6173641443252569,0.0,0.9184709774135903,0.391304347826087,0.0005990028113566894,nan,0.04662374821173105,46.0,800.0,0.019917448982596397,0.011949569264945836,0.0,0.0,0.0,3.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.13237574696540833,1.619171142578125,11.145882210844016,46.333333333333336,1.0,200.0,-0.3936916479219996
61.0,200.0,0.9699919268488897,0.25,0.8783185991703713,0.3673469387755102,0.0005377460811247173,nan,0.04656652360515022,49.0,800.0,0.11948623694479465,0.025879410566549854,0.0,0.0,0.0,,,,,,,,,,,,
62.0,200.0,-1.2581365257501607,0.0,0.9233698942030949,0.3541666666666667,0.0005771061838769345,nan,0.046509298998569384,48.0,800.0,0.021759672090411186,0.012484732621186767,0.0,0.0,0.0,,,,,,,,,,,,
63.0,108.0,-1.1660278487205507,0.0,0.7719824032107763,0.48,0.0009263788838529314,nan,0.046452074391988556,25.0,432.0,0.07756119966506958,0.0315717872250616,0.0,0.0,0.0,,,,,,,,,,,,
64.0,110.0,-0.46412221789360064,0.0,0.8216542641213782,0.37037037037037035,0.0009129491823570869,nan,0.04639484978540773,27.0,440.0,0.05779661051928997,0.012576650348798069,0.0,0.0,0.0,,,,,,,,,,,,
65.0,144.0,-0.5063571476936344,0.0,0.9272868796367111,0.3888888888888889,0.000772739066363926,nan,0.0463376251788269,36.0,576.0,-0.004623454064130783,0.030767518434517527,0.0,0.0,0.0,,,,,,,,,,,,
66.0,200.0,-0.3563320040702821,0.0,0.9317413089805879,0.3673469387755102,0.0005704538626411764,nan,0.04628040057224607,49.0,800.0,-0.04985041730105877,0.03245133075375861,0.0,0.0,0.0,,,,,,,,,,,,
67.0,159.0,-0.5564708495140076,0.0,0.9161301040205527,0.38095238095238093,0.0006543786457289662,nan,0.04622317596566524,42.0,636.0,0.044897839426994324,0.011542604885609542,0.0,0.0,0.0,,,,,,,,,,,,
68.0,132.0,-1.1308049988746645,0.0,0.9298042592092072,0.3333333333333333,0.0009298042592092072,nan,0.04616595135908441,30.0,528.0,0.024683023802936077,0.007362182438547471,0.0,0.0,0.0,,,,,,,,,,,,
69.0,200.0,-0.6146443426609041,0.0,0.9274710149124702,0.4,0.0005564826089474821,nan,0.046108726752503576,50.0,800.0,-0.0493340315297246,0.01414302221276742,0.0,0.0,0.0,,,,,,,,,,,,
70.0,200.0,-0.43971116542816174,0.0,0.922615502496093,0.3137254901960784,0.0005427150014682898,nan,0.04605150214592275,51.0,800.0,-0.03369123209267855,0.01632456745415123,0.0,0.0,0.0,,,,,,,,,,,,
