iteration,n_rounds,skill_ids,skill_names,t_start,t_end
1,16,"[2, 0, 1, 1, 1, 2, 4, 1, 0, 1, 1, 0, 3, 3, 2, 2]","[""accelerate"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_right"", ""accelerate"", ""cruise"", ""turn_right"", ""turn_left"", ""turn_right"", ""turn_right"", ""turn_left"", ""decelerate"", ""decelerate"", ""accelerate"", ""accelerate""]","[0, 20, 28, 37, 43, 49, 69, 89, 104, 116, 136, 156, 169, 177, 178, 198]","[20, 28, 37, 43, 49, 69, 89, 104, 116, 136, 156, 169, 177, 178, 198, 200]"
2,13,"[2, 5, 5, 0, 2, 3, 2, 3, 5, 1, 2, 5, 4]","[""accelerate"", ""hover"", ""hover"", ""turn_left"", ""accelerate"", ""decelerate"", ""accelerate"", ""decelerate"", ""hover"", ""turn_right"", ""accelerate"", ""hover"", ""cruise""]","[0, 20, 40, 60, 67, 87, 88, 108, 111, 131, 146, 166, 186]","[20, 40, 60, 67, 87, 88, 108, 111, 131, 146, 166, 186, 200]"
3,15,"[2, 0, 4, 5, 3, 3, 0, 0, 2, 2, 4, 5, 1, 5, 5]","[""accelerate"", ""turn_left"", ""cruise"", ""hover"", ""decelerate"", ""decelerate"", ""turn_left"", ""turn_left"", ""accelerate"", ""accelerate"", ""cruise"", ""hover"", ""turn_right"", ""hover"", ""hover""]","[0, 20, 27, 47, 67, 68, 69, 89, 92, 112, 132, 152, 172, 177, 197]","[20, 27, 47, 67, 68, 69, 89, 92, 112, 132, 152, 172, 177, 197, 200]"
4,10,"[2, 2, 2, 2, 2, 2, 4, 5, 2, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""hover"", ""accelerate"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
5,10,"[2, 2, 2, 2, 2, 2, 2, 2, 5, 2]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""hover"", ""accelerate""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
6,8,"[5, 5, 3, 5, 3, 5, 3, 2]","[""hover"", ""hover"", ""decelerate"", ""hover"", ""decelerate"", ""hover"", ""decelerate"", ""accelerate""]","[0, 20, 40, 41, 61, 63, 83, 103]","[20, 40, 41, 61, 63, 83, 103, 106]"
7,10,"[4, 3, 0, 2, 4, 5, 4, 5, 5, 5]","[""cruise"", ""decelerate"", ""turn_left"", ""accelerate"", ""cruise"", ""hover"", ""cruise"", ""hover"", ""hover"", ""hover""]","[0, 20, 22, 25, 45, 65, 85, 105, 125, 145]","[20, 22, 25, 45, 65, 85, 105, 125, 145, 153]"
8,12,"[2, 2, 4, 5, 2, 2, 2, 1, 5, 1, 0, 0]","[""accelerate"", ""accelerate"", ""cruise"", ""hover"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""hover"", ""turn_right"", ""turn_left"", ""turn_left""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 190, 197]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 190, 197, 200]"
9,11,"[2, 4, 4, 5, 4, 2, 5, 2, 2, 3, 4]","[""accelerate"", ""cruise"", ""cruise"", ""hover"", ""cruise"", ""accelerate"", ""hover"", ""accelerate"", ""accelerate"", ""decelerate"", ""cruise""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 183]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 183, 200]"
10,10,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","[""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""accelerate"", ""turn_right""]","[0, 20, 40, 60, 80, 100, 120, 140, 160, 180]","[20, 40, 60, 80, 100, 120, 140, 160, 180, 200]"
