iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-1.6150398254394536,0.0,nan,16.0,200.0,0.08857539342716336,0.017933776369646923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33554649353027344,9.314366889360826,13.0,1.0,200.0,-0.49202314019203164
2.0,200.0,-0.42557527124881767,0.0,nan,13.0,200.0,-0.03926826361566782,0.2500353904701768,0.0,0.0,0.0,,,,,,,,,,,,
3.0,200.0,-0.4148453906178477,0.0,nan,15.0,200.0,0.01614631386473775,0.7035815697763337,0.0,0.0,0.0,,,,,,,,,,,,
4.0,200.0,-1.578171730041506,0.0,nan,10.0,200.0,0.062231702730059624,0.001124367403641211,0.0,0.0,0.0,,,,,,,,,,,,
5.0,200.0,-1.5914831161499041,0.0,nan,10.0,200.0,0.1595059111714363,0.0009337859721718012,0.0,0.0,0.0,,,,,,,,,,,,
6.0,106.0,-1.4652599906921386,0.0,nan,8.0,106.0,0.030841385014355183,0.017088885466210003,0.0,0.0,0.0,,,,,,,,,,,,
7.0,153.0,-1.964419345855713,0.0,nan,10.0,153.0,0.035195250529795885,0.006278387684890024,0.0,0.0,0.0,,,,,,,,,,,,
8.0,200.0,-1.141690063476564,0.0,nan,12.0,200.0,0.000260254368185997,0.034140576321294705,0.0,0.0,0.0,,,,,,,,,,,,
9.0,200.0,-1.2591811180114758,0.0,nan,11.0,200.0,0.08637187629938126,0.04729741855674547,0.0,0.0,0.0,,,,,,,,,,,,
10.0,200.0,-1.4669843673706058,0.0,nan,10.0,200.0,0.013660797150805593,0.0029097438548357957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.1904072761535645,1.6361722185683902,10.0,1.0,200.0,-1.6742530822753923
11.0,200.0,-1.5401835441589369,0.0,nan,19.0,200.0,0.06151759158819914,0.04829023104746028,0.0,0.0,0.0,,,,,,,,,,,,
12.0,200.0,-1.6825367927551285,0.0,nan,10.0,200.0,0.06599998753517866,0.003889911792313363,0.0,0.0,0.0,,,,,,,,,,,,
13.0,200.0,-1.6642093658447288,0.0,nan,11.0,200.0,0.003525084350258112,0.0048012038586387005,0.0,0.0,0.0,,,,,,,,,,,,
14.0,200.0,-1.9456065177917499,0.0,nan,10.0,200.0,0.1271646711975336,0.0017721042615439675,0.0,0.0,0.0,,,,,,,,,,,,
