iteration,n_rounds,skill_ids,skill_names,t_start,t_end
1,12,"[3, 2, 3, 2, 2, 4, 4, 1, 3, 2, 0, 3]","[""decelerate"", ""accelerate"", ""decelerate"", ""accelerate"", ""accelerate"", ""cruise"", ""cruise"", ""turn_right"", ""decelerate"", ""accelerate"", ""turn_left"", ""decelerate""]","[0, 7, 27, 40, 60, 80, 100, 120, 135, 148, 168, 183]","[7, 27, 40, 60, 80, 100, 120, 135, 148, 168, 183, 200]"
2,12,"[4, 1, 4, 2, 3, 2, 3, 4, 2, 4, 4, 4]","[""cruise"", ""turn_right"", ""cruise"", ""accelerate"", ""decelerate"", ""accelerate"", ""decelerate"", ""cruise"", ""accelerate"", ""cruise"", ""cruise"", ""cruise""]","[0, 20, 34, 54, 74, 79, 99, 108, 128, 148, 168, 188]","[20, 34, 54, 74, 79, 99, 108, 128, 148, 168, 188, 200]"
3,11,"[1, 4, 3, 2, 4, 1, 1, 0, 0, 0, 4]","[""turn_right"", ""cruise"", ""decelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""turn_right"", ""turn_left"", ""turn_left"", ""turn_left"", ""cruise""]","[0, 14, 34, 46, 66, 86, 106, 125, 145, 165, 185]","[14, 34, 46, 66, 86, 106, 125, 145, 165, 185, 200]"
4,14,"[1, 0, 0, 3, 2, 2, 0, 3, 2, 4, 3, 2, 3, 2]","[""turn_right"", ""turn_left"", ""turn_left"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""cruise"", ""decelerate"", ""accelerate"", ""decelerate"", ""accelerate""]","[0, 6, 10, 15, 21, 41, 61, 71, 80, 100, 120, 140, 160, 180]","[6, 10, 15, 21, 41, 61, 71, 80, 100, 120, 140, 160, 180, 200]"
5,16,"[0, 1, 2, 1, 1, 1, 0, 2, 1, 1, 3, 4, 4, 2, 3, 2]","[""turn_left"", ""turn_right"", ""accelerate"", ""turn_right"", ""turn_right"", ""turn_right"", ""turn_left"", ""accelerate"", ""turn_right"", ""turn_right"", ""decelerate"", ""cruise"", ""cruise"", ""accelerate"", ""decelerate"", ""accelerate""]","[0, 10, 23, 43, 48, 52, 55, 63, 83, 90, 96, 109, 129, 149, 169, 186]","[10, 23, 43, 48, 52, 55, 63, 83, 90, 96, 109, 129, 149, 169, 186, 200]"
6,14,"[0, 0, 1, 2, 3, 2, 0, 1, 0, 0, 2, 0, 3, 2]","[""turn_left"", ""turn_left"", ""turn_right"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_left"", ""turn_right"", ""turn_left"", ""turn_left"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate""]","[0, 14, 25, 32, 52, 67, 87, 101, 115, 128, 140, 160, 176, 188]","[14, 25, 32, 52, 67, 87, 101, 115, 128, 140, 160, 176, 188, 200]"
7,12,"[4, 2, 3, 2, 4, 4, 1, 4, 4, 2, 1, 3]","[""cruise"", ""accelerate"", ""decelerate"", ""accelerate"", ""cruise"", ""cruise"", ""turn_right"", ""cruise"", ""cruise"", ""accelerate"", ""turn_right"", ""decelerate""]","[0, 20, 40, 45, 65, 85, 105, 116, 136, 156, 176, 192]","[20, 40, 45, 65, 85, 105, 116, 136, 156, 176, 192, 200]"
8,15,"[1, 3, 4, 4, 2, 3, 2, 1, 3, 2, 2, 1, 0, 1, 3]","[""turn_right"", ""decelerate"", ""cruise"", ""cruise"", ""accelerate"", ""decelerate"", ""accelerate"", ""turn_right"", ""decelerate"", ""accelerate"", ""accelerate"", ""turn_right"", ""turn_left"", ""turn_right"", ""decelerate""]","[0, 4, 7, 27, 47, 67, 77, 97, 101, 121, 141, 161, 167, 187, 191]","[4, 7, 27, 47, 67, 77, 97, 101, 121, 141, 161, 167, 187, 191, 200]"
9,13,"[1, 3, 4, 2, 1, 3, 2, 4, 1, 4, 3, 4, 2]","[""turn_right"", ""decelerate"", ""cruise"", ""accelerate"", ""turn_right"", ""decelerate"", ""accelerate"", ""cruise"", ""turn_right"", ""cruise"", ""decelerate"", ""cruise"", ""accelerate""]","[0, 4, 9, 29, 49, 57, 75, 95, 115, 123, 143, 162, 182]","[4, 9, 29, 49, 57, 75, 95, 115, 123, 143, 162, 182, 200]"
10,13,"[0, 2, 4, 2, 0, 2, 0, 3, 2, 0, 4, 4, 1]","[""turn_left"", ""accelerate"", ""cruise"", ""accelerate"", ""turn_left"", ""accelerate"", ""turn_left"", ""decelerate"", ""accelerate"", ""turn_left"", ""cruise"", ""cruise"", ""turn_right""]","[0, 3, 23, 43, 63, 77, 97, 109, 129, 149, 155, 175, 195]","[3, 23, 43, 63, 77, 97, 109, 129, 149, 155, 175, 195, 200]"
