iteration,steps_collected,episode_return_mean,safe_reach_ratio,skill_entropy_norm,top1_skill_ratio,high_div_bonus_mean,conv_eval_success_delta_w5,high_entropy_coef,high_samples,low_samples,loss_high_total,loss_low_mean,loss_low_actor,loss_low_value,low_entropy,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,-0.7630436420440674,0.0,0.8777875992540731,0.38461538461538464,0.0020256636905863225,nan,0.05,13.0,200.0,-0.016468246467411518,0.07017529149885376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8442835807800293,12.063318177941255,11.0,1.0,200.0,-0.7120820522308352
2.0,200.0,-0.551292586326599,0.0,0.8437590892044233,0.5,0.0021093977230110584,nan,0.049942775393419174,12.0,200.0,-0.05902151297777891,0.054100708367002426,0.0,0.0,0.0,,,,,,,,,,,,
3.0,200.0,-0.6030725479125976,0.0,0.5638833952826349,0.6363636363636364,0.0015378638053162768,nan,0.049885550786838345,11.0,200.0,-0.08296199049800634,0.06096395430589837,0.0,0.0,0.0,,,,,,,,,,,,
4.0,200.0,-0.5638368010520932,0.0,0.8710776238854911,0.4,0.0017421552477709823,nan,0.049828326180257516,15.0,200.0,-0.009353977628052235,0.05334238990464655,0.0,0.0,0.0,,,,,,,,,,,,
5.0,200.0,-0.8699977874755863,0.0,0.9718496162306144,0.26666666666666666,0.0019436992324612283,nan,0.04977110157367668,15.0,200.0,0.05333800055086613,0.06575632437106833,0.0,0.0,0.0,,,,,,,,,,,,
6.0,200.0,-0.6234992504119867,0.0,0.8437590892044233,0.3333333333333333,0.0021093977230110584,nan,0.04971387696709585,12.0,200.0,-0.08335059508681297,0.06371388446423225,0.0,0.0,0.0,,,,,,,,,,,,
7.0,200.0,-0.698054575920105,0.0,0.9361001153795715,0.26666666666666666,0.001872200230759143,nan,0.04965665236051502,15.0,200.0,-0.08279841765761375,0.04001852069019151,0.0,0.0,0.0,,,,,,,,,,,,
8.0,200.0,-0.6004942893981934,0.0,0.6951143694354999,0.5833333333333334,0.0017377859235887495,nan,0.049599427753934194,12.0,200.0,0.10853171162307262,0.04904475351606379,0.0,0.0,0.0,,,,,,,,,,,,
9.0,200.0,-0.8816663742065431,0.0,0.9397387499015614,0.2857142857142857,0.002013725892646203,nan,0.049542203147353366,14.0,200.0,-0.0823143944144249,0.019593824630132987,0.0,0.0,0.0,,,,,,,,,,,,
10.0,200.0,-0.8910258293151858,0.0,0.9473539953185456,0.3076923076923077,0.002186201527658182,nan,0.04948497854077254,13.0,200.0,-0.0855586975812912,0.030027492502704263,0.0,0.0,0.0,,,,,,,,,,,,
11.0,200.0,-1.2164501190185546,0.0,0.8932941448638881,0.42857142857142855,0.0019142017389940462,nan,0.04942775393419171,14.0,200.0,-0.05609355866909027,0.028431627763347934,0.0,0.0,0.0,,,,,,,,,,,,
12.0,200.0,-0.9671705722808838,0.0,0.7859895721563949,0.4166666666666667,0.001964973930390988,nan,0.04937052932761087,12.0,200.0,-0.06601963564753532,0.053851735868217926,0.0,0.0,0.0,,,,,,,,,,,,
13.0,200.0,-0.7865871429443365,0.0,0.7859895721563949,0.4166666666666667,0.001964973930390988,nan,0.049313304721030043,12.0,200.0,-0.11496570892632008,0.030692269866503922,0.0,0.0,0.0,,,,,,,,,,,,
14.0,200.0,-0.5955015420913703,0.0,0.9718495421617183,0.26666666666666666,0.0019436990843234366,nan,0.049256080114449215,15.0,200.0,-0.01541641540825367,0.036662498210971534,0.0,0.0,0.0,,,,,,,,,,,,
15.0,200.0,-0.775381088256836,0.0,0.7898294518691481,0.46153846153846156,0.0018226833504672647,nan,0.049198855507868386,13.0,200.0,-0.0999041385948658,0.031128761057334486,0.0,0.0,0.0,,,,,,,,,,,,
16.0,200.0,-1.0454039573669434,0.0,0.8560874125505422,0.46153846153846156,0.0019755863366550976,nan,0.04914163090128756,13.0,200.0,-0.01155365165323019,0.017878336448047774,0.0,0.0,0.0,,,,,,,,,,,,
17.0,200.0,-0.5928116917610166,0.0,0.8607727887125273,0.47058823529411764,0.0015190108036103422,nan,0.04908440629470673,17.0,200.0,0.0002204468473792076,0.03826343706793523,0.0,0.0,0.0,,,,,,,,,,,,
18.0,200.0,-0.9661398887634279,0.0,0.7859895721563949,0.4166666666666667,0.0019649739303909874,nan,0.0490271816881259,12.0,200.0,-0.03759221639484167,0.02311851421574829,0.0,0.0,0.0,,,,,,,,,,,,
19.0,200.0,-1.1467829227447512,0.0,0.7106260257991471,0.4166666666666667,0.0017765650644978685,nan,0.048969957081545064,12.0,200.0,-0.04489863757044077,0.03316760971356416,0.0,0.0,0.0,,,,,,,,,,,,
20.0,200.0,-1.0443481445312501,0.0,0.925633958150854,0.3333333333333333,0.001851267916301708,nan,0.048912732474964235,15.0,200.0,-0.0804095696657896,0.033817261863441674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.02439546585083,10.691350548993796,15.0,1.0,200.0,-0.6302269697189332
21.0,200.0,-1.2433585166931158,0.0,0.811529638572679,0.38461538461538464,0.00187276070439849,nan,0.048855507868383406,13.0,200.0,-0.035420569591224194,0.014400435239731451,0.0,0.0,0.0,,,,,,,,,,,,
22.0,200.0,-1.3587487220764163,0.0,0.8902220633283349,0.35714285714285715,0.0019076187071321465,nan,0.04879828326180258,14.0,200.0,-0.030489915050566196,0.029324131635921732,0.0,0.0,0.0,,,,,,,,,,,,
23.0,200.0,-0.91351661682129,0.0,0.972362617405155,0.3076923076923077,0.002243913732473435,nan,0.04874105865522175,13.0,200.0,0.013802489265799522,0.05349536188277852,0.0,0.0,0.0,,,,,,,,,,,,
24.0,200.0,-1.481231117248535,0.0,0.5962422442759042,0.5833333333333334,0.0014906056106897608,nan,0.04868383404864092,12.0,200.0,-0.034515437204390764,0.012049641111205177,0.0,0.0,0.0,,,,,,,,,,,,
25.0,200.0,-1.2197128295898434,0.0,0.785152593630217,0.36363636363636365,0.0021413252553551376,nan,0.04862660944206009,11.0,200.0,-0.09908241778612137,0.033878720361353774,0.0,0.0,0.0,,,,,,,,,,,,
26.0,200.0,-0.6681011438369758,0.0,0.8437774582906615,0.35714285714285715,0.0018080945534799892,nan,0.048569384835479255,14.0,200.0,-0.06649926397949457,0.043128310406154925,0.0,0.0,0.0,,,,,,,,,,,,
27.0,200.0,-0.7709517955780032,0.0,0.7485801132743634,0.46153846153846156,0.0017274925690946847,nan,0.04851216022889843,13.0,200.0,-0.039068615064024925,0.018159063739003615,0.0,0.0,0.0,,,,,,,,,,,,
28.0,200.0,-1.0811573982238774,0.0,0.8101434391817571,0.5384615384615384,0.0018695617827271319,nan,0.0484549356223176,13.0,200.0,-0.06172537337988615,0.04216089785136944,0.0,0.0,0.0,,,,,,,,,,,,
29.0,200.0,-0.8768412590026856,0.0,0.8312595926393666,0.4666666666666667,0.0016625191852787332,nan,0.04839771101573677,15.0,200.0,0.010199939832091331,0.0503802130605618,0.0,0.0,0.0,,,,,,,,,,,,
30.0,200.0,-1.1838553905487073,0.0,0.9397387499015614,0.2857142857142857,0.002013725892646203,nan,0.04834048640915594,14.0,200.0,-0.08265023678541183,0.03417655223600491,0.0,0.0,0.0,,,,,,,,,,,,
31.0,200.0,-1.2187001228332521,0.0,0.8549911928879377,0.42857142857142855,0.0018321239847598667,nan,0.04828326180257511,14.0,200.0,-0.06389180663973093,0.02998907000175677,0.0,0.0,0.0,,,,,,,,,,,,
32.0,200.0,-0.9397502422332765,0.0,0.9285250153042853,0.35714285714285715,0.0019896964613663254,nan,0.04822603719599428,14.0,200.0,-0.006403626874089241,0.07229765992855391,0.0,0.0,0.0,,,,,,,,,,,,
33.0,200.0,-0.9525035381317143,0.0,0.8339095555359209,0.375,0.0015635804166298517,nan,0.048168812589413454,16.0,200.0,-0.05862676165997982,0.02092467682014103,0.0,0.0,0.0,,,,,,,,,,,,
34.0,200.0,-0.5342750668525694,0.0,0.8166663905876312,0.5,0.0020416659764690777,nan,0.04811158798283262,12.0,200.0,-0.04140831530094147,0.03114131790527608,0.0,0.0,0.0,,,,,,,,,,,,
35.0,200.0,-1.087433242797852,0.0,0.9602252436732384,0.25,0.002400563109183096,nan,0.04805436337625179,12.0,200.0,-0.06232197675853968,0.027532637338499626,0.0,0.0,0.0,,,,,,,,,,,,
36.0,200.0,-1.3340384483337409,0.0,0.7582039590163822,0.38461538461538464,0.0017497014438839589,nan,0.04799713876967096,13.0,200.0,-0.03178542712703347,0.021971569878842273,0.0,0.0,0.0,,,,,,,,,,,,
37.0,200.0,-1.9662986755371104,0.0,0.9285249412353892,0.35714285714285715,0.0019896963026472627,nan,0.04793991416309013,14.0,200.0,-0.007095037959516048,0.02386409755507884,0.0,0.0,0.0,,,,,,,,,,,,
38.0,200.0,-2.166300773620606,0.0,0.8277703550808546,0.38461538461538464,0.0019102392809558185,nan,0.0478826895565093,13.0,200.0,-0.003365717828273773,0.04074838009804807,0.0,0.0,0.0,,,,,,,,,,,,
39.0,200.0,-0.9439760208129884,0.0,0.9285249412353892,0.35714285714285715,0.0019896963026472623,nan,0.047825464949928474,14.0,200.0,-0.06132257357239723,0.023572277472776477,0.0,0.0,0.0,,,,,,,,,,,,
40.0,200.0,-1.3130779266357422,0.0,0.7448869640448277,0.5,0.0018622174101120695,nan,0.047768240343347645,12.0,200.0,-0.0184116680175066,0.007405024481914779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.128573179244995,13.60317526012659,16.0,1.0,200.0,-1.0498763561248783
41.0,200.0,-0.9879131317138672,0.0,0.8979445605069036,0.3333333333333333,0.0022448614012672593,nan,0.04771101573676681,12.0,200.0,-0.029960181564092636,0.013995036620335667,0.0,0.0,0.0,,,,,,,,,,,,
42.0,200.0,-1.2679629325866708,0.0,0.8401749693899792,0.4166666666666667,0.002100437423474948,nan,0.04765379113018598,12.0,200.0,-0.05360823683440685,0.016623887693424065,0.0,0.0,0.0,,,,,,,,,,,,
