iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,109.0,0.022761306762695326,0.0,nan,24.0,436.0,-0.037851393688470125,0.015465037835033169,1.0,0.0,0.0,0.25,0.0,0.19134646654129028,1.6241289377212524,11.949624198139645,9.0,1.0,166.0,-0.6149891233444216
2.0,61.0,-0.1715623265504837,0.0,nan,16.0,244.0,0.016046684235334396,0.022087939092617102,,,,,,,,,,,,
3.0,200.0,22.085682513937364,0.25,nan,44.0,800.0,13.40018105506897,0.016657573243456625,,,,,,,,,,,,
4.0,55.0,0.1365991532802582,0.0,nan,12.0,220.0,-0.043994794599711895,0.013187942474964777,,,,,,,,,,,,
5.0,182.0,24.087385314023123,1.0,nan,40.0,728.0,17.58302354812622,0.03232883083120752,,,,,,,,,,,,
6.0,98.0,-0.2395060408115386,0.0,nan,20.0,392.0,0.02672980772331357,0.04013993490547563,,,,,,,,,,,,
7.0,200.0,25.223050091601905,0.75,nan,40.0,800.0,30.50171661376953,0.020753858561178617,,,,,,,,,,,,
8.0,197.0,19.184021735023705,1.0,nan,40.0,788.0,24.945961475372314,0.04468578542825696,,,,,,,,,,,,
9.0,200.0,7.581104679126291,0.5,nan,40.0,800.0,13.490023612976074,0.014414731025967686,,,,,,,,,,,,
10.0,200.0,38.161820460693,0.5,nan,44.0,800.0,16.014789581298828,0.02013111645450749,1.0,0.0,0.0,0.25,0.0,1.1422919034957886,1.8400675058364868,10.00427793385461,6.0,1.0,108.0,-0.08062547922134405
11.0,200.0,4.064751323498787,0.5,nan,40.0,800.0,5.98675537109375,0.026040706633928767,,,,,,,,,,,,
12.0,200.0,5.790184844052418,0.5,nan,44.0,800.0,1.3779974579811096,0.019472285426182623,,,,,,,,,,,,
