iteration,steps_collected,episode_return_mean,safe_reach_ratio,conv_eval_success_delta_w5,high_samples,low_samples,loss_high_total,loss_low_mean,eval_n_episodes,eval_success_rate,eval_reach_rate,eval_collision_rate,eval_safe_reach_ratio,eval_min_h_agent,eval_min_h_obstacle,eval_avg_traj_length,eval_avg_skill_switches,eval_qp_feasible_rate,eval_avg_steps,eval_avg_episode_return
1.0,200.0,16.603644321137114,0.25,nan,44.0,800.0,5.918549060821533,0.04979287857162795,1.0,0.0,0.25,0.0,0.25,0.14566990733146667,1.1224267482757568,12.989116442739032,10.0,1.0,200.0,4.734450503624974
2.0,200.0,1.6387748949229715,0.5,nan,40.0,800.0,0.932339146733284,0.027210676927346356,,,,,,,,,,,,
3.0,200.0,-0.77363060861826,0.0,nan,40.0,800.0,0.05140969343483448,0.04255460102284658,,,,,,,,,,,,
4.0,70.0,-0.6436875700950623,0.0,nan,16.0,280.0,0.11920746974647045,0.003549939249533285,,,,,,,,,,,,
5.0,128.0,0.002507944107055751,0.0,nan,28.0,512.0,0.038728225976228714,0.012334262218557157,,,,,,,,,,,,
6.0,112.0,-1.373613424301148,0.0,nan,24.0,448.0,0.12774284929037094,0.0018364645613636599,,,,,,,,,,,,
7.0,200.0,-1.8472354173660286,0.0,nan,40.0,800.0,0.2650389149785042,0.002239996589558757,,,,,,,,,,,,
8.0,129.0,-0.48966502785682686,0.0,nan,28.0,516.0,0.1906861774623394,0.003865619493338718,,,,,,,,,,,,
9.0,200.0,-0.4805457651615142,0.0,nan,40.0,800.0,0.10763103887438774,0.0002518096947699,,,,,,,,,,,,
10.0,173.0,0.8983794164657597,0.25,nan,36.0,692.0,0.22835829108953476,0.0014853776200385305,1.0,0.0,0.0,0.25,0.0,3.01009202003479,2.0296664237976074,5.526277786877472,7.0,1.0,139.0,-0.7100642935931685
11.0,200.0,-1.4774186968803416,0.0,nan,40.0,800.0,0.1391093134880066,0.0006561615343403798,,,,,,,,,,,,
12.0,200.0,0.8127028685063123,0.25,nan,40.0,800.0,0.8853204697370529,0.0003094038254011222,,,,,,,,,,,,
13.0,200.0,-1.648527121543885,0.0,nan,40.0,800.0,0.11762904189527035,0.00018058562800202238,,,,,,,,,,,,
14.0,200.0,-0.8122565597295764,0.0,nan,40.0,800.0,0.14248087629675865,0.00030285111379482754,,,,,,,,,,,,
15.0,172.0,-0.8080287855863577,0.0,nan,36.0,688.0,0.059880487620830536,0.0001548823711611247,,,,,,,,,,,,
16.0,64.0,-0.6507001185417176,0.0,nan,16.0,256.0,0.021139598917216063,0.0002997700171605538,,,,,,,,,,,,
17.0,200.0,-0.9353573620319371,0.0,nan,40.0,800.0,0.08940800838172436,0.0002890896267223053,,,,,,,,,,,,
18.0,200.0,-1.7799512505531336,0.0,nan,40.0,800.0,0.19221940636634827,0.00038574253089176946,,,,,,,,,,,,
19.0,110.0,-1.4351968169212346,0.0,nan,24.0,440.0,0.18186993896961212,0.0004498017224176115,,,,,,,,,,,,
20.0,200.0,-1.9095460951328282,0.0,nan,40.0,800.0,0.19954922795295715,0.00012311435102693724,1.0,0.0,0.0,0.0,0.0,10.243362426757812,3.7799906730651855,1.807967300911372,10.0,1.0,200.0,-1.7208642810583128
21.0,200.0,-1.2590979099273687,0.0,nan,40.0,800.0,0.02352618472650647,0.0022705102249940268,,,,,,,,,,,,
22.0,200.0,-1.7574793815612797,0.0,nan,40.0,800.0,0.41354890167713165,0.00027646718729447406,,,,,,,,,,,,
23.0,200.0,-1.1999226093292248,0.0,nan,40.0,800.0,0.2735537216067314,6.342763238939564e-05,,,,,,,,,,,,
24.0,200.0,-0.8450996994972232,0.0,nan,40.0,800.0,0.16000284254550934,0.002525749006238448,,,,,,,,,,,,
25.0,200.0,-1.8657363653182995,0.0,nan,40.0,800.0,0.17523077875375748,0.0002071216576120527,,,,,,,,,,,,
26.0,184.0,-1.6433527567982682,0.0,nan,40.0,736.0,0.13454468920826912,0.00015134821786224467,,,,,,,,,,,,
27.0,200.0,-1.2269926846027377,0.0,nan,40.0,800.0,0.2210824191570282,0.0003337960038812815,,,,,,,,,,,,
28.0,200.0,-0.8931157946586616,0.0,nan,40.0,800.0,0.0370757975615561,0.00013149717535360095,,,,,,,,,,,,
29.0,200.0,-0.7347671866416933,0.0,nan,40.0,800.0,0.026522801723331213,0.00021140417557058422,,,,,,,,,,,,
30.0,200.0,-0.8218670681118965,0.0,nan,40.0,800.0,0.016381319146603346,0.00020144856626069796,1.0,0.0,0.0,0.25,0.0,16.162580490112305,3.790269374847412,2.6371113636587324,9.0,1.0,171.0,-1.567946729660035
31.0,200.0,-1.5225413978099849,0.0,nan,40.0,800.0,0.2632346600294113,0.00016945080149655123,,,,,,,,,,,,
32.0,194.0,-1.619704319313169,0.0,nan,40.0,776.0,-0.0023663658648729324,9.653768277959052e-05,,,,,,,,,,,,
33.0,200.0,-1.3576056540012362,0.0,nan,40.0,800.0,0.10279783606529236,0.00018255891072616048,,,,,,,,,,,,
34.0,200.0,-1.261200764775277,0.0,nan,40.0,800.0,0.12374592013657093,0.00015009985080755017,,,,,,,,,,,,
35.0,200.0,-0.8535841345787051,0.0,nan,40.0,800.0,0.06878058984875679,0.00013853743085750797,,,,,,,,,,,,
36.0,200.0,0.7565328232944009,0.25,nan,40.0,800.0,0.8674778640270233,0.004005234644119254,,,,,,,,,,,,
37.0,200.0,-0.7545048832893385,0.0,nan,40.0,800.0,0.08153101615607738,0.033562190516676305,,,,,,,,,,,,
38.0,197.0,-0.32462771654129063,0.25,nan,40.0,788.0,0.17462998628616333,0.13914719877165194,,,,,,,,,,,,
39.0,200.0,-0.7392857968807218,0.0,nan,40.0,800.0,0.04578673653304577,0.09372145587362013,,,,,,,,,,,,
40.0,78.0,-0.35607361078262334,0.0,nan,16.0,312.0,0.057228077203035355,0.018675555721635817,1.0,0.0,0.0,0.25,0.0,13.771342277526855,3.7898612022399902,3.163890382005164,5.0,1.0,90.0,-0.7680284142494204
41.0,92.0,-0.6997330021858217,0.0,nan,20.0,368.0,0.00236635934561491,0.0786194045867798,,,,,,,,,,,,
42.0,200.0,-2.3718822538852695,0.0,nan,40.0,800.0,0.42346447706222534,0.004911999675925927,,,,,,,,,,,,
43.0,200.0,-0.8571752190589907,0.0,nan,40.0,800.0,0.0902855433523655,0.003529358231990922,,,,,,,,,,,,
44.0,200.0,-1.1858489252626905,0.25,nan,40.0,800.0,0.10737940482795238,0.02720934574852825,,,,,,,,,,,,
45.0,189.0,-0.44731595531105994,0.25,nan,40.0,756.0,0.5664477348327637,0.005209903837899462,,,,,,,,,,,,
46.0,60.0,-0.4142306953668594,0.0,nan,12.0,240.0,-0.0201551360078156,0.017986263786284932,,,,,,,,,,,,
47.0,69.0,-0.9723694467544558,0.0,nan,16.0,276.0,0.08191890269517899,0.003842228313127638,,,,,,,,,,,,
48.0,200.0,-1.0927109003067021,0.0,nan,40.0,800.0,0.0573465321213007,0.0027589043234661006,,,,,,,,,,,,
49.0,159.0,-0.7224175685644156,0.0,nan,32.0,636.0,0.16559451073408127,0.0035872208757414814,,,,,,,,,,,,
50.0,135.0,-1.46464548110962,0.0,nan,28.0,540.0,0.12388002686202526,0.002001030842267326,1.0,0.0,0.0,0.25,0.0,17.88300323486328,3.7897744178771973,3.8309272340915186,6.0,1.0,105.0,-0.9809091448783875
51.0,159.0,-1.5658945941925055,0.0,nan,32.0,636.0,0.1540071666240692,0.0046199478579668635,,,,,,,,,,,,
52.0,200.0,7.342589299287644,0.25,nan,40.0,800.0,14.009679794311523,0.0012337573238031811,,,,,,,,,,,,
53.0,184.0,-1.7061317110061651,0.0,nan,40.0,736.0,0.27085456252098083,0.0008146240627309176,,,,,,,,,,,,
54.0,200.0,-1.3879807949066172,0.0,nan,40.0,800.0,0.12462891452014446,0.0006905806730922795,,,,,,,,,,,,
55.0,59.0,-0.6198624038696289,0.0,nan,12.0,236.0,0.2333887815475464,0.001155072938514669,,,,,,,,,,,,
56.0,122.0,0.41037343323230707,0.25,nan,28.0,488.0,0.7354843616485596,0.0010326498891088942,,,,,,,,,,,,
57.0,200.0,-2.1286986589431764,0.0,nan,40.0,800.0,0.12303109839558601,0.00048056603630008965,,,,,,,,,,,,
58.0,84.0,-1.0809379959106449,0.0,nan,20.0,336.0,0.04100860934704542,0.0001739573748783807,,,,,,,,,,,,
59.0,122.0,-1.3030969035625461,0.0,nan,28.0,488.0,0.1548263356089592,0.0004710264029281763,,,,,,,,,,,,
60.0,200.0,-1.8663304328918469,0.0,nan,40.0,800.0,0.13817473873496056,0.0005665322953207763,1.0,0.0,0.0,0.25,0.0,15.272260665893555,3.790269374847412,4.383897675676053,7.0,1.0,139.0,-1.2594979667663577
61.0,59.0,-0.6007856512069701,0.0,nan,12.0,236.0,0.1475042589008808,0.005270264256039799,,,,,,,,,,,,
62.0,138.0,-1.5429990577697759,0.0,nan,28.0,552.0,0.15366074442863464,0.0005536963825961694,,,,,,,,,,,,
63.0,190.0,-2.2991538643836984,0.0,nan,40.0,760.0,0.16086246818304062,0.0006778607236036516,,,,,,,,,,,,
64.0,200.0,-1.4476764321327222,0.0,nan,40.0,800.0,0.11415535770356655,0.00045237748121040866,,,,,,,,,,,,
65.0,200.0,-0.7907295197248465,0.0,nan,40.0,800.0,0.12267068959772587,0.0007912498426869696,,,,,,,,,,,,
66.0,200.0,-2.0634558677673347,0.0,nan,40.0,800.0,0.10620151087641716,0.00012713899930668834,,,,,,,,,,,,
67.0,200.0,-1.3160494029521954,0.0,nan,40.0,800.0,0.1827363632619381,0.0008626817139519294,,,,,,,,,,,,
