episode,seed,steps,safe_reach_count,n_agents,safe_reach_ratio,success_round,episode_return_mean,media_path
0,42,183,8,8,1.0,1,73.47416488520588,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_000.gif
1,43,174,8,8,1.0,1,42.38893723083691,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_001.gif
2,44,68,2,8,0.25,0,6.98650687250949,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_002.gif
3,45,132,1,8,0.125,0,7.077237712703645,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_003.gif
4,46,67,1,8,0.125,0,1.2540820067003369,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_004.gif
5,47,63,1,8,0.125,0,1.6009307176619767,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_005.gif
6,48,282,8,8,1.0,1,135.280411228744,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_006.gif
7,49,184,8,8,1.0,1,64.16811521878077,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_007.gif
8,50,39,0,8,0.0,0,0.06509571488946683,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_008.gif
9,51,151,8,8,1.0,1,58.939217239855736,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_009.gif
10,52,67,2,8,0.25,0,3.9170887447148566,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_010.gif
11,53,69,0,8,0.0,0,0.4966692937910556,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_011.gif
12,54,228,6,8,0.75,0,64.90714496488593,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_012.gif
13,55,22,0,8,0.0,0,-0.10753026723861692,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_013.gif
14,56,138,8,8,1.0,1,54.523142655442946,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_014.gif
15,57,191,8,8,1.0,1,67.06699477989396,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_015.gif
16,58,245,8,8,1.0,1,105.41865474520304,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_016.gif
17,59,207,8,8,1.0,1,101.83921275776231,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_017.gif
18,60,203,8,8,1.0,1,89.03539594814868,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_018.gif
19,61,153,4,8,0.5,0,30.72181764272275,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_019.gif
20,62,185,8,8,1.0,1,53.530499002034446,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_020.gif
21,63,234,8,8,1.0,1,102.2024812387023,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_021.gif
22,64,213,8,8,1.0,1,70.2708370129319,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_022.gif
23,65,44,1,8,0.125,0,0.5764625849574805,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_023.gif
24,66,145,3,8,0.375,0,20.723559968857444,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_024.gif
25,67,86,4,8,0.5,0,4.005731632523239,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_025.gif
26,68,182,8,8,1.0,1,84.34959209676526,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_026.gif
27,69,201,8,8,1.0,1,71.78028129704323,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_027.gif
28,70,179,8,8,1.0,1,55.46458112145645,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_028.gif
29,71,178,8,8,1.0,1,67.88691889652505,artifacts/hmarl_cbf_baseline/gcbfplus_baseline_complex_n8_o8/media/episode_029.gif
