episode,seed,steps,safe_reach_count,n_agents,safe_reach_ratio,success_round,episode_return_mean,media_path
0,42,111,4,4,1.0,1,11.80034235130064,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_000.gif
1,43,148,4,4,1.0,1,47.46260245678016,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_001.gif
2,44,168,4,4,1.0,1,39.69712072441356,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_002.gif
3,45,154,4,4,1.0,1,32.657927948040886,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_003.gif
4,46,180,4,4,1.0,1,62.97918362482345,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_004.gif
5,47,123,4,4,1.0,1,27.096728340331467,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_005.gif
6,48,166,4,4,1.0,1,40.99332167538,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_006.gif
7,49,156,4,4,1.0,1,63.14791749716065,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_007.gif
8,50,175,4,4,1.0,1,48.8187878058292,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_008.gif
9,51,149,4,4,1.0,1,51.85888720602614,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_009.gif
10,52,165,4,4,1.0,1,68.92893151920909,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_010.gif
11,53,188,4,4,1.0,1,63.63925561473657,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_011.gif
12,54,176,4,4,1.0,1,36.63669510931708,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_012.gif
13,55,149,4,4,1.0,1,40.88699529734092,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_013.gif
14,56,188,4,4,1.0,1,51.11902362150024,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_014.gif
15,57,160,4,4,1.0,1,51.68024859970319,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_015.gif
16,58,143,4,4,1.0,1,18.34556672180071,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_016.gif
17,59,200,4,4,1.0,1,65.60919660981308,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_017.gif
18,60,179,4,4,1.0,1,91.57451871700033,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_018.gif
19,61,215,4,4,1.0,1,102.08018085364432,artifacts/hmarl_cbf_baseline/soft_cbf_baseline/media/episode_019.gif
