episode,seed,steps,safe_reach_count,n_agents,safe_reach_ratio,success_round,episode_return_mean,media_path
0,42,181,8,8,1.0,1,71.74409783301621,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_000.gif
1,43,174,8,8,1.0,1,42.38897499663087,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_001.gif
2,44,68,2,8,0.25,0,6.9865073389158345,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_002.gif
3,45,132,1,8,0.125,0,7.07723742334172,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_003.gif
4,46,67,1,8,0.125,0,1.2540821540355682,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_004.gif
5,47,63,1,8,0.125,0,1.60093115799129,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_005.gif
6,48,282,8,8,1.0,1,135.2804081933928,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_006.gif
7,49,184,8,8,1.0,1,64.16811520171538,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_007.gif
8,50,39,0,8,0.0,0,0.06509552843868738,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_008.gif
9,51,151,8,8,1.0,1,58.939217126778814,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_009.gif
10,52,67,2,8,0.25,0,3.91708891235292,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_010.gif
11,53,69,0,8,0.0,0,0.49667005896568284,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_011.gif
12,54,228,6,8,0.75,0,64.90714557735421,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_012.gif
13,55,22,0,8,0.0,0,-0.10753032684326168,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_013.gif
14,56,138,8,8,1.0,1,54.523142383126775,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_014.gif
15,57,191,8,8,1.0,1,67.0669945167677,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_015.gif
16,58,245,8,8,1.0,1,105.41865487766464,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_016.gif
17,59,207,8,8,1.0,1,101.839212622766,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_017.gif
18,60,203,8,8,1.0,1,89.03539616606362,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_018.gif
19,61,130,5,8,0.625,0,17.437372687691827,artifacts/hmarl_cbf_baseline/soft_cbf_baseline_n8_o8/media/episode_019.gif
