iteration,episode_return_mean,train_team_success_rate,train_agent_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_team_success_rate,eval_agent_success_rate,eval_collision_rate
1.0,-2.161863201856613,0.0,0.0,0.375,419.0,0.1683735605329275,0.037717905918335806,0.4193186291626521,1.5800731522696358,0.22819799184799194,0.38434311428240364,0.05,-2.4858515733480453,0.0,0.0,0.125
2.0,-1.9810889674723153,0.0,0.0,0.375,431.0,0.05576575840158122,0.021366267564839548,0.22441981972328254,1.5579914195196969,0.23104582567300114,0.41219842327492573,0.049942775393419174,,,,
3.0,-2.0927786591649054,0.0,0.0,0.375,469.0,0.05326434364542365,0.0478585297241807,0.1622479297220707,1.517837282270193,0.23929199250414968,0.4725399948656559,0.049885550786838345,,,,
4.0,-0.43383158460259597,0.0,0.0,0.25,605.0,0.43144758064299826,0.01221987446770072,0.9829506726004184,1.4499309480190279,0.30211389474570755,0.6116109907627106,0.049828326180257516,,,,
5.0,-1.275109209418297,0.0,0.0,0.25,678.0,0.06656193530017679,0.02499060047028417,0.20660352097316223,1.2402865290641785,0.22826904498718004,0.4905427640134638,0.04977110157367668,,,,
6.0,-1.7086959196627143,0.0,0.0,0.4375,624.0,-0.017432924872264267,0.009754457650706172,0.062248196173459294,1.1729417383670808,0.20820813104510308,0.501432291418314,0.04971387696709585,,,,
7.0,0.5083532604947677,0.125,0.1875,0.1875,1000.0,0.8295649280771613,0.0007562978771602502,1.7696564123034477,1.128138517960906,0.18785951775498688,0.39272460946813226,0.04965665236051502,,,,
8.0,-1.1021531850099566,0.0,0.0,0.25,740.0,0.07164686359465122,0.004718746786238626,0.2475495443213731,1.1461151391267776,0.1717424625530839,0.37991898134350777,0.049599427753934194,,,,
9.0,0.1844765657186508,0.0,0.0,0.25,789.0,0.9241642063626877,0.004553684767765495,1.9505906923172567,1.1239876815905938,0.17149932625202033,0.31559066015940446,0.049542203147353366,,,,
10.0,-0.721985935643316,0.0,0.0,0.5,622.0,0.2989622287452221,0.011355495732277633,0.6851341591216624,1.1106470167636873,0.17486471757292749,0.34391983672976495,0.04948497854077254,-1.6053540420532229,0.0,0.0,0.625
11.0,-0.6576322048902525,0.0,0.0,0.25,942.0,0.24759523707131545,-0.009684390434995294,0.6185879153199494,1.052330446243286,0.18571134308973947,0.37829483648141227,0.04942775393419171,,,,
12.0,-0.49899630088359254,0.125,0.125,0.375,643.0,0.25678272282874043,-0.04575633937069638,0.7208250480788675,1.1722268597646193,0.1632508230395615,0.2879971597682346,0.04937052932761087,,,,
13.0,-1.7475470736622816,0.0,0.0,0.1875,809.0,-0.00821393828552503,0.025646560028410304,0.04311610400103606,1.123805284500122,0.15124071246156326,0.2565006450391733,0.049313304721030043,,,,
14.0,-0.7250171840190897,0.0,0.0,0.6875,431.0,0.3945093958505562,0.005259743891656399,0.8928706177643366,1.1609867555754525,0.13703760052365915,0.2554734987871987,0.049256080114449215,,,,
15.0,-0.4444001828134076,0.0,0.0,0.25,731.0,0.7389059960842133,0.0012229944501693049,1.5915129979451497,1.180383118490378,0.138047959189862,0.2822145062188307,0.049198855507868386,,,,
16.0,1.2105411686003211,0.0,0.0,0.0,846.0,1.1965064385107584,0.0018358507160363452,2.5023415964096785,1.149742481963975,0.14772062668842928,0.2881457276110138,0.04914163090128756,,,,
17.0,-1.5214660915732385,0.0,0.0,0.75,471.0,-0.03402159223333001,-0.006125783373136073,0.058630754181649536,1.165567446500063,0.1440804237499833,0.33470618119463325,0.04908440629470673,,,,
18.0,-0.703270471543075,0.0,0.0,0.25,773.0,0.2979081405613285,0.003937067571454324,0.7000985591887282,1.1438186833491693,0.18264494535441583,0.43701923151428884,0.0490271816881259,,,,
19.0,-1.0276445505768066,0.0,0.0,0.25,726.0,0.07396751518050829,0.003213515776830415,0.24986265366896987,1.1063380415240922,0.15979550002763668,0.4028468281030655,0.048969957081545064,,,,
20.0,-0.7068980440497395,0.0,0.0,0.5,617.0,0.07375267446041107,-0.013775107800029218,0.2820332646369934,1.0935567796230317,0.16550308838486671,0.4036490090191365,0.048912732474964235,-1.2110216289758684,0.0,0.0,1.0
