iteration,episode_return_mean,train_success_rate,train_collision_rate,high_samples,loss_high_total,loss_high_actor,loss_high_value,high_entropy,high_approx_kl,high_clip_frac,high_entropy_coef,eval_episode_return_mean,eval_success_rate,eval_collision_rate,eval_steps_mean
1.0,-0.9888484536111354,0.0,0.1875,43.0,0.08012230508029461,-0.02278380495561194,0.365096740424633,1.5928451418876648,-0.0019461401801850187,0.0,0.05,-0.9604216685891152,0.0,0.125,5.375
2.0,-1.0241812467575073,0.0,0.0625,38.0,-0.027788031846284866,-0.032675832411960926,0.17022038996219635,1.6062862277030945,0.017016733702468256,0.02631578966975212,0.049942775393419174,,,,
3.0,-0.9459189459681511,0.0,0.4375,64.0,-0.07549156714230776,-0.02176462486386299,0.05169374216347933,1.595127433538437,-0.004956179764121771,0.0,0.049885550786838345,,,,
4.0,-0.6657919930666685,0.0,0.625,88.0,0.010649741627275944,-0.030981346033513546,0.23761861585080624,1.5488824844360352,0.013572767958976328,0.1809895820915699,0.049828326180257516,,,,
5.0,-0.5439138371497394,0.0,0.3125,83.0,0.15572376735508442,-0.03830278478562832,0.5396544001996517,1.522985264658928,-0.0009873337039607577,0.01315789483487606,0.04977110157367668,,,,
6.0,-0.813998023942113,0.0,0.625,50.0,-0.036035086028277874,-0.016060741217807095,0.10403573513031006,1.4481311440467834,0.0059632063237948785,0.0,0.04971387696709585,,,,
7.0,-0.8739959962666034,0.0,0.5625,56.0,-0.03970009181648493,-0.019262164930946013,0.0969171691685915,1.3874578475952148,0.002539210000707337,0.0,0.04965665236051502,,,,
8.0,-0.5353413894772532,0.0,0.625,87.0,0.10142120067030191,0.002159055758966133,0.3299178257584572,1.3245468139648438,0.012785081169568002,0.08016304299235344,0.049599427753934194,,,,
9.0,-0.3539611575752498,0.0,0.8125,117.0,0.07465406320989132,-0.02160528744570911,0.32051142305135727,1.2917543798685074,0.0016717486796551384,0.030181309208273888,0.049542203147353366,,,,
10.0,-0.1667734698206192,0.0,0.4375,125.0,0.1986898798495531,0.001605292403837666,0.5315656550228596,1.3882644921541214,0.004563442373182625,0.0,0.04948497854077254,,,,
11.0,-0.36568501554429556,0.0,0.75,88.0,0.11345347389578819,-0.0028012789553031325,0.36009163223206997,1.2905919253826141,0.005584362399531528,0.0052083334885537624,0.04942775393419171,,,,
12.0,-0.788940376713872,0.0,0.5625,48.0,0.015757590532302856,0.00260705037120168,0.14570791833102703,1.209292620420456,0.002210406217878713,0.0,0.04937052932761087,,,,
13.0,-0.6260549052059652,0.0,0.5625,66.0,0.17956821201369166,0.07522266625892371,0.3321006614714861,1.2512809187173843,-0.0026252041570842266,0.0,0.049313304721030043,,,,
14.0,-0.5844556805491448,0.0,0.3125,60.0,0.11414971575140953,-0.0036993930038684564,0.35675131529569626,1.2288137674331665,0.00495593121740967,0.0,0.049256080114449215,,,,
15.0,-0.6224213426560163,0.0,0.6875,75.0,0.03995566675439477,-0.039312084671109915,0.2719869688153267,1.1529888361692429,-0.005256658274447545,0.001953125,0.049198855507868386,,,,
16.0,-0.4979353055357937,0.0,0.75,88.0,0.07676772493869066,0.022468722891062498,0.21695409156382084,1.1024876981973648,0.001886205944174435,0.0,0.04914163090128756,,,,
17.0,-0.007233488410711975,0.0,0.625,134.0,0.2173286840940515,0.039597901826103524,0.47424916302164394,1.2100339531898499,0.004293814185075462,0.005208333333333333,0.04908440629470673,,,,
18.0,-0.13217379286885356,0.0,0.4375,121.0,0.15609535574913025,0.0010298353154212236,0.4239753186702728,1.1610321253538132,0.001486742723500356,0.0,0.0490271816881259,,,,
19.0,-0.11542964987456827,0.0,0.375,106.0,0.12349750753492117,0.0004572686739265919,0.36218155175447464,1.1854315400123596,0.0002593155804788694,0.0029761905316263437,0.048969957081545064,,,,
20.0,0.10092624686658308,0.0,0.375,139.0,0.09975347481667995,-0.024743414483964443,0.36690048376719153,1.2052761713663735,0.002854524490733941,0.0,0.048912732474964235,0.29757252052426264,0.0,0.375,67.25
21.0,0.0016946524381633299,0.0,0.375,124.0,0.12362176878377795,0.0008277439046651125,0.35922470316290855,1.16298708319664,-0.00677315189386718,0.0,0.048855507868383406,,,,
22.0,0.19975000411271965,0.0,0.4375,149.0,0.09494344517588615,-0.009452435343215862,0.32522375509142876,1.192992736895879,0.004445370053872466,0.11142113214979568,0.04879828326180258,,,,
23.0,0.48116734869778055,0.0,0.4375,188.0,0.19006300314019123,-0.008816540008410811,0.5160469288627306,1.213431179523468,0.006650123279541731,0.011979166883975267,0.04874105865522175,,,,
