fast_ma,slow_ma,stop_atr,rr,risk_per_trade,atr_window,breakout_window,trades,win_rate,payoff_ratio,profit_factor,max_drawdown,total_return,annual_return,sharpe,case_id,score
10,40,1.5,1.5,0.01,14,20,82,0.4634146341463415,1.5373579594259368,1.3277182376860364,-0.09294111933072169,0.11140607142856873,2.764521414461014,4.773174101388924,2,3.5518689528715277
10,40,2.0,1.5,0.005,14,20,17,0.5882352941176471,1.4238160603980647,2.0340229434258066,-0.012925765657910593,0.029791428571428247,0.4454570730521248,4.377655803395749,5,3.057662257556782
10,40,1.5,2.0,0.01,14,20,67,0.417910447761194,1.8600923045692412,1.335450885331763,-0.07630697055219993,0.10095571428571182,2.3436252843713166,3.8336344042723747,4,2.9454466657682423
20,40,1.5,1.5,0.01,14,20,79,0.45569620253164556,1.5025984604237352,1.2579894087268482,-0.0738420057158149,0.08145142857142607,1.671732394723811,3.6736515513042063,18,2.7448238219752863
10,40,2.0,1.5,0.01,14,20,47,0.48936170212765956,1.4337376856028416,1.3739986153693902,-0.03759974197540894,0.06366571428571333,1.1697445492618685,3.4749153758187057,6,2.6072524686614527
10,40,2.0,2.0,0.005,14,20,16,0.5,1.7271595718197512,1.7271595718197512,-0.013473952228460151,0.024717142857142438,0.35856912631228854,3.4853410534811893,7,2.4489175633656353
10,40,2.0,2.0,0.01,14,20,40,0.425,1.771996891581561,1.3097368329081103,-0.03728407776570564,0.049642857142856434,0.8368535266406889,2.7335045588189226,8,2.056378564262486
20,40,2.0,2.0,0.005,14,20,18,0.4444444444444444,1.770247555012219,1.4161980440097752,-0.024890529056138977,0.01909428571428573,0.2679188990997394,2.6683397573227086,23,1.8699317461008835
20,40,1.5,2.0,0.01,14,20,67,0.3880597014925373,1.8966811709405884,1.2027734254745195,-0.08437019469534313,0.06082428571428333,1.0981136844130464,2.4241175237941945,20,1.8272324208930175
20,40,2.0,2.0,0.01,14,20,47,0.3829787234042553,1.8711694465926327,1.1614155185747377,-0.0397604758260498,0.03106285714285595,0.4680148123214305,1.830960652688908,24,1.3783969757683943
20,60,1.5,2.0,0.01,14,20,57,0.40350877192982454,1.7067042244041675,1.1545352106263487,-0.05993496086234007,0.03701142857142625,0.5779226903991934,1.6700486934004726,28,1.2830072578544256
