symbol,instrument_id,delivery,expire_dt,close,open_interest,volume_multiple
INE.sc2604,INE.sc2604,2026-04,2026-03-31 15:00:00+08:00,795.0,3860.0,1000.0
INE.sc2605,INE.sc2605,2026-05,2026-04-30 15:00:00+08:00,802.8,54574.0,1000.0
INE.sc2606,INE.sc2606,2026-06,2026-05-29 15:00:00+08:00,787.7,24643.0,1000.0
INE.sc2607,INE.sc2607,2026-07,2026-06-30 15:00:00+08:00,765.3,11325.0,1000.0
INE.sc2608,INE.sc2608,2026-08,2026-07-31 15:00:00+08:00,743.2,3803.0,1000.0
INE.sc2609,INE.sc2609,2026-09,2026-08-31 15:00:00+08:00,722.4,4371.0,1000.0
INE.sc2610,INE.sc2610,2026-10,2026-09-30 15:00:00+08:00,713.2,2222.0,1000.0
INE.sc2611,INE.sc2611,2026-11,2026-10-30 15:00:00+08:00,700.4,1025.0,1000.0
INE.sc2612,INE.sc2612,2026-12,2026-11-30 15:00:00+08:00,689.0,3542.0,1000.0
INE.sc2701,INE.sc2701,2027-01,2026-12-31 15:00:00+08:00,682.0,240.0,1000.0
INE.sc2702,INE.sc2702,2027-02,2027-01-29 15:00:00+08:00,665.7,175.0,1000.0
INE.sc2703,INE.sc2703,2027-03,2027-02-26 15:00:00+08:00,665.0,97.0,1000.0
